lake,Date,pH,Alk (uEq/L),T,Cond,atm pCO2,Bar. Prs. (kP),Altitude (m),Ionic Strength,pK1,pK2,ao,a1,a2,pKH,DIC uM,CO2 uM,pCO2 uatm,equil CO2,log CO2,CO2:CO2 sat.,alpha,flux  mmol/m2/day,enh flux
B,03-07-2007,8.7,2486.1227720759,21.1,481,370,101.325,509.3,0.0084175,6.2910454054,10.2083912816,0.0037682498,0.9662606281,0.029971122,1.4164353,2414.1666666667,9.0971831528,237.3243163065,13.2874401665,0.9589069384,,1.7421315609,-4.4249114064,-7.7087778153
B,03-08-2010,9.7,2452.5120181782,23,490,370,101.325,509.3,0.008575,6.2688319833,10.1885619331,0.0002796429,0.7546956351,0.245024722,1.44097,1962.5,0.5487992218,15.1489833012,12.5575993245,-0.2605865131,,6.0675392202,-12.6812929085,-76.9442420849
B,04-05-1995,7.85,,9,395,370,101.325,509.3,0.0069125,6.4356545288,10.3550441152,0.0369773387,0.9600218616,0.0030007997,1.24833, ,,,19.5680082099,,,1.008483998,,
B,04-05-2001,8.59,1215.7257554455,9.2,409,370,101.325,509.3,0.0071575,6.4327097011,10.3502922443,0.006796271,0.9762498632,0.0169538658,1.2512752,1195,8.1215438289,144.8484300301,19.4357552701,0.9096385924,,1.0482460429,-11.9478072819,-12.5242417049
B,04-06-2003,8.87,3079.8644065306,16.9,523,370,101.325,509.3,0.0091525,6.3381573698,10.245437539,0.0028119895,0.956877455,0.0403105555,1.3604073,2960,8.3234888692,190.8590259609,15.1171290981,0.9203054031,,1.4984523792,-7.1740840817,-10.7500233608
B,04-06-2004,8.7,2789.0432308406,15.1999998093,373.299987793,370,101.325,509.3,0.0065327498,6.3638368017,10.2873350398,0.004475071,0.9704275665,0.0250973626,1.3370271974,2724.1666666667,12.1908391479,264.8870937093,15.9532593143,1.086033601,,1.2462257966,-3.9731156957,-4.9513992727
B,04-06-2007,9,2706.5380596018,17.2,446.3,370,101.325,509.3,0.00781025,6.3375316519,10.2536952475,0.0020562384,0.9452393987,0.0527043629,1.3644912,2567.5,5.2793921144,122.2011011667,14.9756410485,0.7225839194,,1.6889973892,-10.2392388744,-17.2940477261
B,04-06-2012,8.6,3708.0560014201,16.2,540,370,101.325,509.3,0.00945,6.3457038584,10.2505476735,0.0054167845,0.9728316745,0.0217515409,1.3508292,3640,19.717095703,442.254381686,15.4542317967,1.2948429444,,1.2430369899,4.501584285,5.5956357795
B,04-07-1994,7.7,,19,450,370,101.325,509.3,0.007875,6.3165037242,10.2343208969,0.0395994338,0.9576024589,0.0027981072,1.38873, ,,,14.1627184595,,,1.0569168896,,
B,04-07-1999,9.1,2433.8103394422,18,460,370,101.325,509.3,0.00805,6.3277092761,10.2431411042,0.0015734842,0.9314362024,0.0669903134,1.37532,2275.8333333333,3.5809878205,84.9811969756,14.6068517641,0.5540028439,,1.9676639774,-11.6433123245,-22.9101262386
B,04-07-2006,9.4,2793.7595249006,23.5,647,370,101.325,509.3,0.0113225,6.2577692658,10.1625305631,0.0006141712,0.8521580998,0.1472277291,1.4473425,2428.3333333333,1.4914123789,41.7772879444,12.3746841226,0.1735977435,,4.4914703636,-11.4927349613,-51.6192784754
B,04-07-2011,9.2,3292.8359689844,21.9,583,370,101.325,509.3,0.0102025,6.2782289492,10.1861478569,0.0010841452,0.9054375857,0.093478269,1.4268273,3005.9083333333,3.2588412148,87.0744019384,12.9732659725,0.5130632002,,3.0950763406,-10.2584325441,-31.7506318592
B,04-08-2009,9.2,3223.0408327116,19.3,410.3,370,101.325,509.3,0.00718025,6.3146223608,10.2376139833,0.001191242,0.9149084323,0.0839003258,1.3927257,2968.3333333333,3.5360032881,87.3450625525,14.033012818,0.5485126602,,2.4412256348,-11.0848420636,-27.0606006034
B,05-05-1999,,,,,370,101.325,509.3,0,6.58,10.62,0.999999737,0.000000263,6.30957178521547E-018,1.11,1875.8333333333,1875.832839939,24165.4081510271,26.9077027826,3.2731941347,,1.0000002499,,
B,05-06-2000,8.32,3557.9023754789,16,455,370,101.325,509.3,0.0079625,6.3511543497,10.2651933988,0.0105115252,0.9783886024,0.0110998724,1.34808,3547.5,37.2896355376,831.1284307692,15.5523715068,1.5715881387,,1.1252232912,22.9545508165,25.8289952185
B,05-06-2002,8.21,,16.5,490,370,101.325,509.3,0.008575,6.3440077333,10.2545044331,0.0133132676,0.9778605581,0.0088261742,1.3549425, ,,,15.3085522876,,,1.1085636908,,
B,05-06-2006,9.4,2919.1233010024,18.1,642,370,101.325,509.3,0.011235,6.3202543315,10.2169173862,0.0007216467,0.8671022545,0.1321760987,1.3766673,2571.6666666667,1.855834836,44.1780581636,14.5616075401,0.2685393226,,2.7050886314,-13.4172959755,-36.2949748069
B,05-07-2010,9.3,2405.1547908223,22.2,453.9,370,101.325,509.3,0.00794325,6.2794022397,10.2017395989,0.000846704,0.8878290523,0.1113242437,1.4307012,2157.5,1.8267637982,49.2474328167,12.8580592276,0.2616823964,,3.5617405423,-11.6490479734,-41.490886446
B,05-08-1997,8.53,,25,590,370,101.325,509.3,0.010325,6.2423963826,10.1558355306,0.0050125049,0.9719824601,0.023005035,1.46625, ,,,11.8474973956,,,1.9685434417,,
B,05-08-2008,9.1,3088.3533099336,21,457.8,370,101.325,509.3,0.0080115,6.2930810696,10.2129102784,0.0014460857,0.9270709285,0.0714829858,1.41513,2877.7083333333,4.1614128754,108.2357688624,13.3274364983,0.6192408065,,2.5566619011,-9.6793209458,-24.746751091
B,05-08-2014,9.1,3238.3931160731,23.4,682,370,101.325,509.3,0.011935,6.2578456644,10.1591904176,0.0013211088,0.9185290819,0.0801498093,1.4460708,2993.3333333333,3.9545189185,110.4496788832,12.4109727454,0.5970936576,,3.1607100103,-8.9300152412,-28.2251885651
B,06-05-2003,8.47,3206.6152601356,12.3,539,370,101.325,509.3,0.0094325,6.3913160968,10.2941137274,0.0081526337,0.9771963382,0.0146510282,1.2962097,3177.5,25.9049934577,512.381200548,17.5253589525,1.4133834869,,1.0776877583,8.8488940375,9.5363447784
B,06-06-1996,8.15,,17.5,375,370,101.325,509.3,0.0065625,6.3369899483,10.2622972932,0.0150338673,0.9774189741,0.0075471585,1.3685625, ,,,14.8359076711,,,1.1164413331,,
B,06-06-2001,8.57,4329.6078235074,15.1,475,370,101.325,509.3,0.0083125,6.3608817573,10.2719454893,0.0060216658,0.9746190451,0.0193592891,1.3356393,4264.1666666667,25.6773867217,556.1476698643,16.0043235217,1.409550822,,1.1809736993,10.2147547393,12.063356692
B,06-06-2011,8.8,3004.1280960973,14.9,486,370,101.325,509.3,0.008505,6.3628035611,10.2724967044,0.0035227398,0.9639999317,0.0324773285,1.3328593,2911.0416666667,10.2548422948,220.6928615757,16.1070987731,1.0109289859,,1.2877356025,-6.1799828411,-7.9581839272
B,06-07-2009,8.7,3159.989234076,20.8,424,370,101.325,509.3,0.00742,6.2967243659,10.2202389037,0.0038207403,0.9669926096,0.0291866501,1.4125152,3073.3333333333,11.7424085663,303.5794621401,13.4079203668,1.0697571872,,1.7060938004,-1.7587804613,-3.0006444414
B,06-08-1999,9.4,2334.4779450176,22,455,370,101.325,509.3,0.0079625,6.2816623497,10.2035133988,0.0006576027,0.8635773854,0.1357650119,1.42812,2048.3333333333,1.3469896016,36.0980916371,12.9347077886,0.1293642431,,3.9203259297,-12.2366304055,-47.971579471
B,06-08-2002,7.6,,16.5,420,370,101.325,509.3,0.00735,6.346722327,10.2653628079,0.0527531085,0.9452043875,0.002042504,1.3549425, ,,,15.3085522876,,,1.0272644263,,
B,07-05-2000,7.8,3533.1413489553,13.5,500,370,101.325,509.3,0.00875,6.3786497952,10.2860326808,0.0364023638,0.9604611231,0.0031365131,1.3132425,3646.6666666667,132.7472866646,2730.6632966166,16.8513276108,2.1230256529,,1.0223041961,122.3861327608,125.1158570713
B,07-05-2004,8.52,2877.5009641947,15.3000001907,370.5,370,101.325,509.3,0.00648375,6.3627929378,10.2867298978,0.006799261,0.9764921848,0.0167085543,1.3384137026,2840.8333333333,19.3155671584,421.0378772194,15.9024090078,1.2859074648,,1.1689444896,3.6042950071,4.2132207873
B,07-05-2007,8.6,2584.9232624479,13.4,388,370,101.325,509.3,0.00679,6.3842358285,10.3048230738,0.0059315196,0.9748328214,0.019235659,1.3118308,2542.5,15.0808886367,309.2129918988,16.906192975,1.178426933,,1.1337064179,-1.9275213813,-2.1852433606
B,07-05-2012,8.8,3826.1442589454,9.8,453.8,370,101.325,509.3,0.0079415,6.4238413201,10.3359231205,0.0040701208,0.9677562456,0.0281736336,1.2600772,3727.5,15.1713754136,276.1227277588,19.0458088767,1.181024955,,1.0902117357,-4.0914017371,-4.4604941892
B,07-06-2010,8.9,2587.452699223,15.8,409,370,101.325,509.3,0.0071575,6.3553247011,10.2747222443,0.0027301576,0.9568922167,0.0403776257,1.3453252,2485,6.7844417211,150.2585924266,15.6513362525,0.8315141162,,1.4285147154,-9.3634406252,-13.3758127196
B,07-07-2000,8.08,3081.151991674,20.5,485,370,101.325,509.3,0.0084875,6.2978214353,10.2137672412,0.0161279828,0.9766942168,0.0071778004,1.4085825,3100.8333333333,50.0101866536,1281.2709378648,13.5298855191,1.6990584755,,1.1781217485,38.523197998,45.3850173838
B,07-07-2008,8.5,3161.2922857449,21.7,510,370,101.325,509.3,0.008925,6.2830614012,10.1982165446,0.0059138522,0.9745610814,0.0195250664,1.4242377,3110.4583333333,18.3947908093,488.5764766363,13.0508537194,1.2646948533,,1.5454008133,5.643197567,8.7210021094
B,07-07-2014,9.8,3643.2164921685,21.1,519,370,101.325,509.3,0.0090825,6.28965557,10.2028319401,0.0002212196,0.716420427,0.2833583534,1.4164353,2831.6666666667,0.6264200628,16.3418401751,13.2874401665,-0.2031343413,,5.70910096,-13.3700372295,-76.3308923827
B,08-05-1996,7.9,,6.5,290,370,101.325,509.3,0.005075,6.4700755576,10.4051957303,0.0357209799,0.9612753511,0.003003669,1.2110425, ,,,21.3223035555,,,1.0049341502,,
B,08-05-1997,9.41,,9,360,370,101.325,509.3,0.0063,6.437173693,10.3611207721,0.0009565054,0.8984909772,0.1005525174,1.24833, ,,,19.5680082099,,,1.2881960746,,
B,08-05-2002,9.61,,6,355,370,101.325,509.3,0.0062125,6.4729028609,10.3990674435,0.0006269407,0.8596538362,0.1397192231,1.20348, ,,,21.6968467716,,,1.2088776365,,
B,08-05-2006,8.8,2476.1802227092,12.1,375,370,101.325,509.3,0.0065625,6.4000317083,10.3218916932,0.0038502624,0.9670715773,0.0290781603,1.2933513,2406.6666666667,9.2662981643,182.0780403278,17.6410861931,0.9669062705,,1.1558330996,-8.8437761584,-10.2219292094
B,08-06-2009,8.7,3281.0470937348,13.7,364.8,370,101.325,509.3,0.006384,6.3817338327,10.3054790706,0.0046672529,0.971242102,0.0240906451,1.3160617,3210,14.9818817623,310.1901946233,16.7422923768,1.1755663653,,1.1785919454,-1.858993609,-2.190994894
B,08-07-1997,8.28,,19.5,500,370,101.325,509.3,0.00875,6.3088277952,10.2216526808,0.0104550017,0.9783546493,0.011190349,1.3953825, ,,,13.9474277992,,,1.2298098624,,
B,08-08-2000,,,22,470,370,101.325,509.3,0.008225,6.2810869456,10.2012117823,0.9999994765,5.23495348437239E-007,3.29382896855665E-017,1.42812,3026.6666666667,3026.6650822208,81111.861120638,12.9347077886,3.4809643665,,1.0000004213,,
B,09-05-2011,8.8,2710.1487261256,9.5,388.5,370,101.325,509.3,0.00679875,6.4300320874,10.3501298495,0.0041320601,0.9685778673,0.0272900726,1.2556825,2640.2083333333,10.9094994756,196.5564617623,19.2395150882,1.0378048258,,1.0837653387,-8.7964964869,-9.5333379942
B,09-06-1995,7.71,,18,470,370,101.325,509.3,0.008225,6.3273269456,10.2416117823,0.039670892,0.9575137525,0.0028153555,1.37532, ,,,14.6068517641,,,1.0476885062,,
B,09-06-1997,8.95,,19.5,490,370,101.325,509.3,0.008575,6.3091957333,10.2231244331,0.0021661791,0.9473241901,0.0505096308,1.3953825, ,,,13.9474277992,,,1.9324311962,,
B,09-06-2008,8.7,3331.6987777759,15.6,460,370,101.325,509.3,0.00805,6.3556222361,10.2687635042,0.0043867794,0.969445852,0.0261673686,1.3425648,3252.1666666667,14.2665376538,313.9665544614,15.7511338441,1.154318587,,1.2675135201,-1.5677335769,-1.9871235046
B,09-06-2014,8.7,2847.719229132,16.9,428.1,370,101.325,509.3,0.00749175,6.3417416909,10.2597748238,0.0042470517,0.9690492731,0.0267036752,1.3604073,2776.6666666667,11.7926469769,270.4074157946,15.1171290981,1.0716112978,,1.3474609035,-3.51065312,-4.730467825
B,09-08-2001,8.73,3615.4471634584,21.5,495,370,101.325,509.3,0.0086625,6.2859131925,10.2023662702,0.0034674487,0.9640439827,0.0324885687,1.4216425,3505,12.1534075882,320.8784588183,13.129074778,1.0846980631,,1.8406544584,-1.0303045524,-1.8964346679
B,10-05-2005,9.4,2832.7956031455,10,332.2,370,101.325,509.3,0.0058135,6.4266537984,10.3542151938,0.0009560446,0.8991339044,0.099910051,1.263,2569.1666666667,2.4562380307,45.0060036842,18.9180610181,0.3902704514,,1.3575234684,-17.3836850747,-23.5987604561
B,10-05-2010,8.7,2483.4792759352,8,332.3,370,101.325,509.3,0.00581525,6.4502531144,10.3783564574,0.0054809057,0.9740902988,0.0204287955,1.23352,2438.3333333333,13.3642751405,228.8049459936,20.2468106772,1.1259454082,,1.0455952079,-7.2679575268,-7.5993415609
B,11-05-2009,8.6,3277.9422742004,9.8,312.8,370,101.325,509.3,0.005474,6.4299353482,10.360299233,0.0066005787,0.9764424832,0.0169569381,1.2600772,3235.8333333333,21.3583726335,388.7275841037,19.0458088767,1.3295681593,,1.057332414,2.4420673272,2.5820769422
B,11-07-1995,7.6,,23,500,370,101.325,509.3,0.00875,6.2684640452,10.1870901808,0.0444229499,0.9531107088,0.0024663413,1.44097, ,,,12.5575993245,,,1.0958820532,,
B,11-08-2004,8.9,,18.1000003815,359.5,370,101.325,509.3,0.00629125,6.330708731,10.2587349978,0.0025762021,0.9555891413,0.0418346566,1.3766673051, ,,,14.5616073678,,,1.6625166436,,
B,11-08-2005,9.6,2359.5026127824,20.1,388.8,370,101.325,509.3,0.006804,6.3062706567,10.2330970868,0.0004123007,0.8108553663,0.188732333,1.4033193,1977.5,0.8153245963,20.6371558579,13.6948513283,-0.0886694559,,4.1204281469,-13.600780229,-56.041037676
B,11-08-2006,10.1,3168.4116899157,21.7,547,370,101.325,509.3,0.0095725,6.2817537034,10.1929857536,8.40806744189609E-005,0.5532768298,0.4466390895,1.4242377,2183.3333333333,0.1835761391,4.8758903642,13.0508537194,-0.7361837682,,8.5372746097,-13.5878451247,-116.0031651834
B,12-05-2008,8.5,3297.8620368697,10.3,401.4,370,101.325,509.3,0.0070245,6.4200616202,10.3384166207,0.0081331701,0.9776833886,0.0141834413,1.2673737,3269.5833333333,26.5920774752,492.1822727818,18.7284968338,1.4247522674,,1.0516546103,8.3039411573,8.732878002
B,12-05-2014,8.3,4237.4044275401,6.7,327.8,370,101.325,509.3,0.0057365,6.4658545266,10.3952930464,0.0143256583,0.9778225817,0.00785176,1.2140577,4256.6666666667,60.9795523228,998.2560057559,21.174780735,1.7851842317,,1.0129575969,42.0338387967,42.5784963377
B,12-07-2004,8.8,,20.3999996185,420.3999938965,370,101.325,509.3,0.0073569999,6.3014890744,10.2248196438,0.0030488304,0.9608247808,0.0361263888,1.407268795, ,,,13.5708742703,,,1.8067684519,,
B,12-08-2013,9.3,2844.6157958496,20.5,535,370,101.325,509.3,0.0093625,6.2960146132,10.2065399527,0.0008807677,0.8888874517,0.1102317806,1.4085825,2555.8333333333,2.2510954932,57.6735146728,13.5298855191,0.3523939185,,3.0438324007,-11.9104022674,-36.2532683267
B,13-07-1999,9.2,2531.8984192328,21,435,370,101.325,509.3,0.0076125,6.2939748779,10.2164855116,0.0011312633,0.9111477892,0.0877209475,1.41513,2321.6666666667,2.626416328,68.3114603443,13.3274364983,0.4193635697,,2.8518925826,-11.3002772998,-32.227177013
B,13-07-2001,8.89,3971.6031352566,24,500,370,101.325,509.3,0.00875,6.2569810452,10.1776201808,0.0022089369,0.9488602885,0.0489307745,1.45368,3785.8333333333,8.3626670654,237.6976056117,12.1954160759,0.922344807,,2.6359330994,-4.0473829551,-10.6686306974
B,13-07-2011,9.6,3779.6062278485,21.6,595,370,101.325,509.3,0.0104125,6.2812889806,10.1874976824,0.0003812954,0.7942780739,0.2053406307,1.4229408,3128.7416666667,1.1929747742,31.5916319023,13.0898847224,0.0766312605,,4.7530793217,-12.5631369054,-59.713586241
B,13-08-2003,9.47,2711.2118638752,23.2,470,370,101.325,509.3,0.008225,6.2672835856,10.1896533823,0.0005263241,0.8394013421,0.1600723338,1.4435232,2330,1.22633512,34.0511956361,12.4839902814,0.0886091659,,4.7393585432,-11.8880838504,-56.3418917592
B,13-08-2007,8.9,2270.5772288817,19.6,526,370,101.325,509.3,0.009205,6.3067349114,10.2168910054,0.0024279078,0.9516939016,0.0458781906,1.3967088,2167.5,5.2624902461,131.1898102424,13.9048984635,0.7211913039,,1.8599471812,-9.1263830777,-16.9745904797
B,13-08-2012,9.14,2879.8475043933,22.1,602,370,101.325,509.3,0.010535,6.2753003895,10.1816984179,0.0012502417,0.9155743047,0.0831754536,1.4294113,2653.3333333333,3.3173080175,89.1655511434,12.8963057773,0.5207857983,,2.9467654742,-10.1154216344,-29.8077752292
B,14-06-1999,8.6,2387.019141789,18,400,370,101.325,509.3,0.007,6.330117229,10.2527729159,0.0052274052,0.9731256796,0.0216469153,1.37532,2340,12.2321280729,290.2832786073,14.6068517641,1.0875020196,,1.346786165,-2.507708218,-3.3773467339
B,14-07-2003,9.02,2645.2692522353,21.3,526,370,101.325,509.3,0.009205,6.2870997414,10.1998587054,0.0017320191,0.936381723,0.0618862579,1.4190417,2486.6666666667,4.3069540892,113.0347406899,13.2079349674,0.6341702423,,2.4100516353,-9.3994358074,-22.6531256384
B,14-07-2010,8.4,2135.2757436795,20.1,441.7,370,101.325,509.3,0.00772975,6.304102428,10.2244241719,0.0078383819,0.9775162659,0.0146453522,1.4033193,2112.5,16.5585818208,419.1239113477,13.6948513283,1.2190231384,,1.3335157618,3.0240994001,4.0326842153
B,15-05-1998,7.1,1139.8908677309,12,650,370,101.325,509.3,0.011375,6.3911852166,10.2829648664,0.1634523001,0.8359991187,0.0005485812,1.29192,1353.3333333333,221.2054460694,4332.2729901536,17.6993216555,2.3447958151,,1.0032600349,214.9024673811,215.6030569338
B,15-06-1998,9,993.4889516599,17.5,500,370,101.325,509.3,0.00875,6.3320137952,10.2423926808,0.0020275136,0.9439521483,0.0540203382,1.3685625,935.8333333333,1.8974148034,44.3327615117,14.8359076711,0.2781622846,,1.7276543704,-13.6630484683,-23.6050253991
B,15-06-2001,9.02,4600.1680166906,17,500,370,101.325,509.3,0.00875,6.3378240452,10.2476901808,0.001958823,0.9422608609,0.0557803161,1.36177,4356.6666666667,8.5339389179,196.2996521646,15.0697699268,0.93114953,,1.6915524504,-6.9018375454,-11.6748202119
B,15-07-1998,9.3,1229.2386329506,19.5,350,370,101.325,509.3,0.006125,6.3149156792,10.2460042168,0.0009288033,0.8974454304,0.1016257664,1.3953825,1108.3333333333,1.0294236101,25.5844817814,13.9474277992,0.0125941247,,2.7710641775,-13.6414124237,-37.8012292982
B,15-07-2005,9.3,2661.8413024443,23.4,459,370,101.325,509.3,0.0080325,6.2654069478,10.189435551,0.0008172611,0.8850215939,0.1141611451,1.4460708,2382.5,1.9471245133,54.3831706633,12.4109727454,0.2893937244,,3.9685113289,-11.0498237332,-43.8513506679
B,15-07-2013,10.2,4160.5795823362,21.1,559,370,101.325,509.3,0.0097825,6.2882589247,10.1972453587,6.1069294303738E-005,0.4983838685,0.5015550622,1.4164353,2764.1666666667,0.1688057077,4.4037476754,13.2874401665,-0.7726128731,,9.0531787533,-13.8532779885,-125.4162019492
B,15-08-2011,9,2842.1262052455,21.8,614,370,101.325,509.3,0.010745,6.2783668937,10.1830686149,0.0017782712,0.9367659825,0.0614557462,1.4255332,2673.575,4.7543415361,126.6553609089,13.0119810433,0.6770903768,,2.4634346546,-8.7200673196,-21.481316026
B,16-05-1995,7.5,,,,370,101.325,509.3,0,6.58,10.62,0.1072507136,0.8920725801,0.0006767063,1.11, ,,,26.9077027826,,,1.0003055959,,
B,16-05-2001,8.64,1592.370100722,14,480,370,101.325,509.3,0.0084,6.373541567,10.2833822681,0.0052660757,0.9726252217,0.0221087027,1.32028,1557.5,8.201912837,171.4727645051,16.5804617819,0.9139151497,,1.1668939376,-8.8477476858,-10.324383136
B,16-06-2004,8.9,,,,370,101.325,509.3,0,6.58,10.62,0.0046748483,0.9767142454,0.0186109063,1.11, ,,,26.9077027826,,,1.0069180639,,
B,16-07-2007,8.5,2375.9824885427,23.4,513,370,101.325,509.3,0.0089775,6.2633965989,10.1813941557,0.0056491684,0.9740649558,0.0202858758,1.4460708,2333.3333333333,13.1813928332,368.1561867949,12.4109727454,1.1199613031,,1.7183644557,0.8135636126,1.3979987944
B,16-07-2012,8.22,3526.4765274136,23.1,630,370,101.325,509.3,0.011025,6.262898132,10.1684685879,0.0107974354,0.9781883409,0.0110142237,1.4422473,3517.5,37.9799789932,1051.4824301398,12.5207205289,1.5795547202,,1.3824616877,26.8849769383,37.1674505914
B,16-08-2010,10.3,3227.1377604315,19.5,520,370,101.325,509.3,0.0091,6.3081052965,10.2187626859,4.61891379946657E-005,0.453350982,0.5466028288,1.3953825,2080,0.096073407,2.3877326183,13.9474277992,-1.0173968077,,8.6998359071,-14.6270302382,-127.2527628794
B,17-05-1999,7.9,2009.2828486456,12,240,370,101.325,509.3,0.0042,6.4078757381,10.3497269524,0.0310899501,0.9654822352,0.0034278147,1.29192,2058.3333333333,63.9934806674,1253.3019994191,17.6993216555,1.8061357325,,1.019803358,48.8866319165,49.8547513898
B,17-06-2005,8.9,2812.9546151128,19.2,421.7,370,101.325,509.3,0.00737975,6.3153135461,10.2367716244,0.0024813167,0.9536052871,0.0439133962,1.3913952,2692.5,6.6809451824,164.5254579645,14.0760701296,0.8248379084,,1.8036203994,-7.8092519442,-14.0849261108
B,17-06-2013,8.63,3170.1319826348,17.4,499,370,101.325,509.3,0.0087325,6.333211994,10.2435949361,0.0049049032,0.9714455126,0.0236495842,1.3672068,3103.3333333333,15.2215495851,354.5403480908,14.8822920166,1.1824588668,,1.3295091895,0.3582559923,0.476304634
B,17-07-2006,9.5,2745.8528269018,23.6,574,370,101.325,509.3,0.010045,6.2589804668,10.1710220272,0.0004729433,0.8238129639,0.1757140928,1.4486128,2328.3333333333,1.1011696789,30.9362055345,12.3385413793,0.0418542444,,5.0848342396,-11.8666645155,-60.3400220379
B,17-08-2009,9.8,3672.9232217407,17.7,398.1,370,101.325,509.3,0.00696675,6.3336791447,10.2562379187,0.0002531132,0.7406884884,0.2590583985,1.3712697,2910,0.736559319,17.3171902666,14.7437148181,-0.1327922714,,4.079670513,-14.791556207,-60.3446756991
B,18-06-1996,,,19,395,370,101.325,509.3,0.0069125,6.3187345288,10.2432441152,0.99999952,0.00000048,2.74170767336463E-017,1.38873, ,,,14.1627184595,,,1.0000004009,,
B,18-06-2012,8.6,3934.2842746777,17.3,561,370,101.325,509.3,0.0098175,6.3321856245,10.2358998379,0.0052477296,0.9722676278,0.0224846426,1.3658497,3859.1666666667,20.2518632113,470.2347124506,14.9288695073,1.3064649853,,1.3028281511,5.6210813514,7.3233030242
B,18-07-1994,8.35,,22,485,370,101.325,509.3,0.0084875,6.2805226853,10.1989547412,0.0083326373,0.9778219772,0.0138453855,1.42812, ,,,12.9347077886,,,1.4188871247,,
B,18-08-1994,8.1,,20,5050,370,101.325,509.3,0.088375,6.2394426472,9.9621705887,0.0134168904,0.9732159653,0.0133671443,1.402, ,,,13.7365168084,,,1.1696070162,,
B,18-08-2008,8.9,2702.3480580477,21.3,439.3,370,101.325,509.3,0.00768775,6.29034375,10.2128347399,0.0023371853,0.9513698856,0.046292929,1.4190417,2580.0416666667,6.0300355145,158.2565048567,13.2079349674,0.78031987,,2.1302665091,-7.5798618223,-16.1471257836
B,18-08-2014,8.7,3206.4562472069,23,737,370,101.325,509.3,0.0128975,6.2608251492,10.1565345967,0.003502526,0.9628446417,0.0336528323,1.44097,3104.1666666667,10.8724244387,300.1210091482,12.5575993245,1.0363263981,,2.0011773732,-1.7795446794,-3.561184547
B,19-05-2000,8.09,3558.9672053735,14.5,450,370,101.325,509.3,0.007875,6.3688454742,10.2824033969,0.018532824,0.9752054691,0.0062617068,1.3272825,3595,66.6255024373,1415.5427740425,16.3152646135,1.8236404972,,1.0539512318,53.127611142,55.9939112036
B,19-06-2006,9.4,2824.1594861757,17.3,621,370,101.325,509.3,0.0108675,6.3302069395,10.2279850978,0.000740827,0.8699811389,0.1292780341,1.3658497,2494.1666666667,1.8477459009,42.9034234206,14.9288695073,0.2666422475,,2.503359251,-13.8136665283,-34.5805698943
