siteID,lakeName,latitude,longitude,accessLat,accessLon,Altitude,notes
40,Newton,49.318744,-107.829794,49.303,-107.807483,805,Acessed off of the Dyke where road ends.  Close to dam so be careful.  Very steep dyke with cobble so semi difficult launch
41,Summercove,49.323444,-107.043242,49.327533,-107.037667,821,Old boat launch off dam
42,Fife,49.217149,-105.862596,49.21432,-105.88446,799,Couldn't find boat launch from map.  Took a trail through the field to where the land came to a point.
43,Gouverneur,49.758979,-107.650273,49.7653,-107.650017,760,Used a public boat launch on east side of the lake
44,Montague,49.474371,-105.826204,49.49052,-105.83968,727,Access through farm fields. Made our own path
45,Bullkin,49.24677,-105.072949,49.25292,-105.07491,665,Farmers road off gravel road.
46,Lewis Creek South,51.438574,-105.528084,51.43377,-105.52876,518,Accessed from the south of the lake off the SK 748
47,Wolverine,52.026726,-105.224675,52.02032,-105.22441,550, Accesses at north end of the lake.  Drive along fence through grass to get to lake
48,Annie Laurie,51.970037,-102.668184,51.966633,-102.667667,508,pubic launch
49,Quill,51.858683,-104.374455,51.77929,-104.32372,517,Access from south of the lake.  Gravel road off of hwy 16 by potassium sulfate mine
50,Madge,51.654347,-101.634549,51.651375,-101.613499,598,used public boat launch
51,Greenwater,52.518832,-103.502911,52.495333,-103.51705,597,used public boat launch
52,Horse,51.387156,-103.561985,51.391683,-103.55985,671,took path that wetn past the farm and then followed tracks through field towards lake.  Origonal access point was treed and would be impossible.  Next time make sure to select this lake later in the day so farmer can be notified.
53,Unknown 1,51.546535,-104.268454,51.5429,-104.2607,646,Couldn't access Heron lake the intended target lake.  Picked this small lake because it was along the trail.  SOME OF THE SAMPLES ARE LABLED UNKNOWN 4… NO IDEA WHY
54,Good Spirt,51.551032,-102.670779,51.520761,-102.679045,485,Public Boat Launch in park
55,Peter,51.464382,-104.913697,51.44476,-104.94138,519,Southeast of Nokomis north off of a grid road
56,York,51.156416,-102.480997,51.165476,-102.495597,514,used a boat house by railway that is for a club.
57,Shrimp,51.591576,-108.451809,51.589733,-108.452667,698,drove close to the lake via a path
58,Springwater,52.012359,-108.388809,51.99848,-108.35964,668,Dock on sothern point of lake.  Turn off Hwy 51 to rd 656
59,Sunny,52.022343,-108.51821,52.01568,-108.850099,659,Pulled off on grid road on southern point of lake
60,Tramping,52.034119,-108.820665,51.9858,-108.78915,606,old road to the abandoned regional park
61,White Heron,51.891749,-109.046223,51.890883,-109.05395,650,used trail for wildlife restoration group
62,Manitou,52.762476,-109.751467,52.790633,-109.7861,598,Launch at camping/ trailer park
63,X5,52.667951,-110.078509,52.66848,-110.08435,609,Access through farmers property on west side of the lake
64,Farewell,52.470286,-109.375777,52.4781,-109.377983,582,Off road at the north side.  Had to drive through a field to shore
65,Reflex,52.663786,-110.005945,52.65782,-110.01706,596,Access road off hwy 17 to the southwest edge of the lake
66,Little Manitou,52.619465,-109.618248,52.609967,-109.595833,607,Accessed from west road goes through pasture with many cows.  This is the little manitou up near Unity SK not the lake that is part of the SLS from Bjoerns group
67,Suffern,52.637829,-109.898604,52.63971,-109.89722,632,turn at sign for park off hwy 680.  Boat launch at regional park
68,Alioth,52.50691,-109.554552,52.508283,-109.556267,640,off the side of the road
69,McLean,52.615348,-109.369339,52.614283,-109.375783,584,off the side of the road west side of lake
70,Sink,52.443573,-109.190351,52.44012,-109.18775,616,"Pulled over on the north side of Hwy 14.  Lake refered to as ""Stink"" lake in town"
71,Macklin,52.31997,-109.949416,52.31895,-109.9407,650,public launch at east side of the lake
72,Coldspring,52.347531,-108.592693,52.335583,-108.5697,642,off road on southeast.  Walked in ~10m
73,Thackery,52.542642,-108.68657,52.52229,-108.71066,646,Pulled over on grid road
74,Eaglehill,52.362157,-108.968503,52.37041,-109.00159,624,Access from northwest corner of lkae.  Pulled over off grid road
75,Richmond,52.010246,-108.021454,51.99625,-108.01922,629,Turn onto grassy path off the gravel road off hwy 4
76,X3,51.93777,-107.577721,51.94114,-107.58676,556,pull over off the trail
77,Van Scoy,52.081379,-107.552726,52.067873,-107.547404,533,local suggested right off road is easiest and north basin is deeper
78,Deep,50.41623,-103.681597,50.4325,-103.675283,614,accessed by north west road.  Follow along perimeter to north of lake.  Barn near access point
79,Chapleau,50.181708,-103.343929,50.182518,-103.33526,645,Entered farmers pasture on sortheast side.  Lauched ~10m from the road
80,Round,50.540163,-102.367886,50.547233,-102.415667,445,boat launch in west end of subdivision
81,Stony Beach,50.50326,-105.194846,50.50382,-105.184632,569,Accessed lake by lifting equipment over farmers fence.  Same area as done in routines
82,Crooked,50.608299,-102.724626,50.602879,-102.670673,456,Public boat launched used in routines
83,Diefenbaker,51.098348,-106.622533,51.027151,-106.487315,554,Douglas park provincial boat launch
84,Buffalo Pound,50.608245,-105.426535,50.594967,-105.411333,506,Buffalo pound provincial park boat launch
85,Katepwa,50.709939,-103.646447,50.693916,-103.626462,474,Boat launch at Katepwa beech
86,Last Mountain,51.101797,-105.263193,50.989935,-105.177576,487,Rowan's Ravine provincial park boat launch
87,Pasqua,50.79004,-103.943374,50.797917,-103.940333,499,Boat launch after lutherland used by routines
88,Opuntia,51.808829,-108.573124,51.796096,-108.572574,594,northeast side.  Small beach area
89,Charron,52.404288,-104.310145,52.404288,-104.302453,567,SLS lake 6.  Regional park
90,Edouard,52.382578,-104.350314,52.385017,-104.35325,571,SLS lake 54.  Right beside Charron.  Small boat lauch area
91,Little Manitou,51.736659,-105.523586,51.72105,-105.445583,503,SLS lake 29.  Pull of in little parking area right near little manitou beach.
92,Middle,52.562869,-105.194594,52.580309,-105.210359,516,SLS lake 9.
93,Arthur,52.563928,52.563928,52.55115,-105.465233,544,SLS lake 11.
94,Wakaw,52.663265,-105.601008,52.640383,-105.653717,510,SLS lake 7.  This is right at a mirina so it is an easy launch
95,Shannon,52.649965,-105.433425,52.638371,-105.437487,548,SLS lake 53
96,Redberry,52.621283,-107.018894,52.712667,-107.20585,506,SLS lake 17
97,Rabbit,52.608738,-107.018894,52.621283,-106.98735,509,SLS lake 18
98,Success,50.492171,-108.016639,50.493417,-108.020733,714,SLS lake 41
99,Snakehole,50.50494,-108.489022,50.51395,-108.47195,649,SLS lake 21
100,Antelope,50.275582,-108.391484,50.27375,-108.409983,705,SLS lake 43
101,Lac Pelletier,49.98639,-107.935497,49.993233,-107.934467,839,SLS lake 44
102,Fishing,51.815789,-103.471541,51.82191,-103.556,526,SLS lake 23. Little rocky area.  Apparently there is a small boat launch around the lake somewhere
103,Humbolt,52.144261,-105.12045,52.149667,-105.115267,552,SLS lake 20.  Boat launch area
104,Deadmoose,52.302819,-105.167261,52.325467,-105.193283,538,SLS lake 13
105,Waldsea,52.260211,-105.181378,52.260167,-105.178683,530,SLS lake 14
106,Lenore SB,52.446064,-105.004627,52.434717,-105.027767,525,SLS lake extra sight added after flooding.  Popular fishing spot
107,Lenore,52.508747,-104.974165,52.629876,-104.904999,525,SLS  lake 10.  in a small regional park boat launch
108,Kipabiskau,52.568376,-104.183634,52.57144,-104.184356,519,SLS lake 55.  Inside park
109,Clair,51.987347,-104.061521,51.9922,-104.053433,523,SLS Lake 56
