sampleID,siteID,lakeName,latitude,longitude,sampleDate,TOD,secchi,sampleDepth,wind,comments
23,22,Freefight,50.40064,-109.112534,2013-08-07,1:30:00 PM,4.75,15,5,Very weird profile but brought YSI back up and measured the same numbers so it must be working.  Phyto did multiple towes (5) and got nothing.  No inflow or outflow.  Seems like there might be a salt water lense of some type.  There were stringy spirals that were very thin not sure if they are a type of saline macrophyte or what they are.
24,23,Junction,49.959172,-109.510544,2013-08-07,2:30:00 PM,1.18,9,0,Agriculture in area and this looks like the water source for Maple Creek.  Dam at the end
25,24,Eyebrow,50.955291,-106.18512,2013-08-08,8:00:00 AM,0.9,0.9,0,Lake has flow.  The lake seems to be a wetland with a wide river flowing beside it.  No zooplankton were caught river/lake was sampled.
26,25,Alsask,51.337208,-109.876513,2013-08-08,10:00:00 AM,1.58,3.2,13,Meter was a nightmear this day.  Profile has a the numbers from the meter and from the other meter taken that evening from the carboy.  This was a sulfate mine until the early 90s.  No visible inflow but it was a very large lake
27,26,Luck,51.069232,-107.100618,2013-08-08,12:00:00 PM,0.66,0.8,1,Dry creek observed so there may have been inflow in spring.  Irrigation right beside the lake. See picture.
28,27,Clearwater,50.873253,-107.929351,2013-08-08,3:45:00 PM,0.52,7,0,the 0.35um net was slimey.  No obvious connectivity.
29,28,Kindersley,51.421035,-109.101516,2013-08-09,8:00:00 AM,0.7325,1.6,0,Lots of macrophyte patches out to the center of the lake (near sample site).  Colverts in dyke connecting to another area possible an outflow at the opposite end of the lake.  Dyke at access point with dirt road along it.  Coble found mostly around the dyke.  The Google image makes it look like the area we sampled is recently flooded and not always par tof the lake.
30,29,Snipe,51.233494,-108.858046,2013-08-09,,0.55,1.2,9,"Apparently was dryin early 2000s alkali bottom according to farmer.  Horses and cattle use lake.  Surface groundwater in area is not sutable for consumption by animals.  Colvert put into lake and allowed to fill to see what groundwater was like an tests were really bad.   At times lake has ""duck weed"" problems… or agal blooms.  We did not observe bloom"
31,30,Barber,51.369423,-107.664354,2013-08-09,,1.346,1.6,5,road short tanget to lake.  Constantly shallow (1.5-1.7). Sedges visible in center in center of area but very few.
32,31,Handsome,50.489624,-107.383296,2013-08-09,9:00:00 AM,0.21,1.9,0,two farms directly beside the lake.  Next time check with farmer.Used oxygen from reading taken by HAH later in day (meter not working)
33,32,Cutbank,50.53318,-106.997408,2013-08-09,2:00:00 PM,0.3,2.4,0,really green.  Agriculture beside lake.  Used oxygen from reading taken by HAH later in day (meter not working)
34,33,Dewey,50.583209,-107.068083,2013-08-09,11:45:00 AM,2.3,2.3,0,Surrounded by pasture land.  Lots of Cows. Used oxygen from reading taken by HAH later in day (meter not working)
35,34,Old Wives,50.095036,-105.992192,2013-08-12,7:30:00 AM,0.43,1.7,12,Surrounded by farming cows in immediate area
36,35,Lonetree,49.081147,-108.258855,2013-08-12,10:40:00 AM,0.5025,4,20,Recalibrated at 2m 92.6.  Cattle feeding in area on the shore (~50 head).  When the lake was dry (farmer thinks 09) cultivated and seeded for crops.  Intense agriculture in area but the shore is currently just pasture.
37,36,Shoe,49.715906,-105.356319,2013-08-12,10:45:00 AM,0.69,3.8,22,Old mine area with large salt pile on bank of lake. No inflow or outflow seen
38,37,Island,49.129387,-108.226411,2013-08-12,1:15:00 PM,1,2,13,Filamentous algae bloom.  Sand pole on west side of lake.  Was this a sand mine? Island on middle of lake. Macrophytes out to the middle even at sample site
39,38,Willow Bunch,49.447147,-105.461306,2013-08-12,2:00:00 PM,0.19,1.1,10,"hwy right beside the lake, agriculture was on top of the valley and cows on other side of the hwy"
40,39,Thomson,49.771287,-106.597559,2013-08-12,4:40:00 PM,1.13,8.3,14,Regional park no visible flows but there is something to the south on the map
41,40,Newton,49.318744,-107.829794,2013-08-12,3:52:00 PM,1.15,4.2,12,Bird sanctuary. Dyke along the southeast side with a dam that the frenchman river flows out of
42,41,Summercove,49.323444,-107.043242,2013-08-13,7:21:00 AM,0.52,5,0,Northwestern inflow from meandering river.  Exit east by dam.  Marsh reeds an sedges along most of the perimeter
43,42,Fife,49.217149,-105.862596,2013-08-13,11:50:00 AM,0.34,2.4,20,Agriculture on top of valley right beside lake.  Inflow looks like 2 on map and 1 outflow but none visible at site
44,43,Gouverneur,49.758979,-107.650273,2013-08-13,12:00:00 PM,1.75,7.2,10,outflow damed at north side.  Inflow river entery from south.  Cottages on the east side.  Cyano bloom along the shore steep clifts bare sediment on sdie of clifts.  Cottages and mobile homes along shore.  Recalibration at 3.5m 109.0
45,44,Montague,49.474371,-105.826204,2013-08-13,9:00:00 AM,0.11,1.4,13,no inflow or outflow visible
46,45,Bullkin,49.24677,-105.072949,2013-08-13,3:00:00 PM,0.16,0.7,20,no visbile flow.  Mostly marsh where we launched
47,46,Lewis Creek South,51.438574,-105.528084,2013-08-15,7:50:00 AM,0.44,1.9,10,Hwy right beside the lake. Some big worm-like invertebrates (see picture)
48,47,Wolverine,52.026726,-105.224675,2013-08-15,10:40:00 AM,0.46,3.1,20,no visible outflow or inflow
49,48,Annie Laurie,51.970037,-102.668184,2013-08-15,12:17:00 PM,0.175,1.3,12,river at north west and outflow at south east.  Green/ gross lake.  Basin uniformly shallow 1-1.4m
50,49,Quill,51.858683,-104.374455,2013-08-15,1:10:00 PM,1.08,6.4,12,Mineral extraction plant (potassium sulfate) right beside the lake.  Very large lake neither inflow or outflow visible
51,50,Madge,51.654347,-101.634549,2013-08-15,3:22:00 PM,2.815,12.3,10,"Boating and fishing popular.  Provincial park, bible camp, lot of evergreen vegitation in area.  No visible in or outflow"
52,51,Greenwater,52.518832,-103.502911,2013-08-15,8:36:00 AM,0.686,7.5,9,"Boating a fishing, provincial park.  Barely any Zoops.  80um mesh only taken from 2m meters because picking up sediment… possible from ekman sediment disruption.  Sediment is very floculant.  Lots of poplar and mixed forest in area."
53,52,Horse,51.387156,-103.561985,2013-08-16,6:00:00 AM,0.4595,3.3,15,unsure about connectivity map shows ponds to north and south that could be connected esspecially during high water.  Lots of deadfall indicating recently flooded.  More connected to other water bodies than shown on map.  Beaver dam in area.
54,53,Unknown 1,51.546535,-104.268454,2013-08-16,8:50:00 AM,0.61,1.8,10,Gusts to 20km/h  No flow visiible
55,54,Good Spirt,51.551032,-102.670779,2013-08-16,9:34:00 AM,1.272,5.2,18,"camping, boating, fishing common.  Provincial park.  Appear very shallow then drops off to another flatish plane.  Chunks in the sediment looks like mould?"
56,55,Peter,51.464382,-104.913697,2013-08-16,12:17:00 PM,0.5,0.5,20,inflow looks like it is from the south side of the road.  Lots of macrophyte growth
57,56,York,51.156416,-102.480997,2013-08-16,1:03:00 PM,1.0675,3,30,railroad(dyke) transecting the north and south basin. Golf course on the north side.  Cottage with boat launches all over the lake
58,57,Shrimp,51.591576,-108.451809,2013-08-19,9:00:00 AM,0.29,3,22,Evidence of use for irrigation (pipe were access point)  los of fishing and boating in area.  Located in valley that is steep walled.  Catching TONES of little minnows in nets
59,58,Springwater,52.012359,-108.388809,2013-08-19,9:30:00 AM,3.1,3.1,24,Lots of zoops.  Farmer in area said the lake is higher than it normally is due to high runoff
60,59,Sunny,52.022343,-108.51821,2013-08-19,11:30:00 AM,4.29,15,14,Stinky at the bottom and Ekman sunk in far.  Lots of macrophytes in the shallow water but very muddy.  The agriculture from the shoreline use is mostly at the top of the valley
61,60,Tramping,52.034119,-108.820665,2013-08-19,2:30:00 PM,0.94,3.4,0,inflow and outflow none visible but on map looks like a slough might be connected.  Gravel minning in area and gravel pits(2) on the banks.  The regional park that was here is closed and has been fro at least 10-15 years
62,61,White Heron,51.891749,-109.046223,2013-08-19,3:52:00 PM,0.3995,0.8,4,The temperature outside is ~34 which might be why the high calibration.  No visible inflow or ouflow but could be connected in spring to other lakes.  Bird sanctuary.  2 oil sotage to south of lake.  Lots of islands with macrophtes and reeds everywhere.  Very flat topography in area.  Many lakes all with same name in area so probably connected sometimes.  Sediment was mostly moss
63,62,Manitou,52.762476,-109.751467,2013-08-20,8:18:00 AM,1.845,15.9,25,"No visible inflow or outflow.  Oil storage to west of lake.  Camp at north end.  Drove around for 45min on lake to find ""deep spot"" but couldn’t find it.  5 towes for phyto and still nothing."
64,63,X5,52.667951,-110.078509,2013-08-20,9:45:00 AM,0.21,4.1,9,Agriculture on top of valley but not up to lake.  Looks like inflow northwest corner of lake on GPS
65,64,Farewell,52.470286,-109.375777,2013-08-20,10:38:00 AM,0.01,0.4,24,no visible inflow or outflow.  There is a spring feed from the south east.  We sampled the spring for water isotopes.  Crops were near lake.  Mucky shore with thick biofilms.  Milky turquoise water.  This is where we got stuck so be careful with truck near the lake.
66,65,Reflex,52.663786,-110.005945,2013-08-20,12:10:00 PM,2.8,2.8,20,no visible in or outflow.  Piping plover habitat
67,66,Little Manitou,52.619465,-109.618248,2013-08-20,12:25:00 PM,0.7545,3.8,11,"No visible in or outflow.  Cattle pasture up to shore, evidence of cattle in water.  Hilly area with lots of small ponds. Known to be ground water fed"
68,67,Suffern,52.637829,-109.898604,2013-08-20,2:25:00 PM,2.5,8,20,no visible flows.  Sample location was a guess.  The urban shoreline use is a playground area.
69,68,Alioth,52.50691,-109.554552,2013-08-20,3:20:00 AM,0,0.58,12,Meter would not stop fluctuating.  Calibration was doen in submerged tap water.  Above water Do% was 140%.  Secchi we could not see past the macrophytes but assume light went to the bottom.  Road along the north and northwest of the lake.  Farmland surrounding lake.  VERY PINK shoreline.  Machrophytes at sample site thick forst of them.  Did 5 towes of 35um for phyto.  Sediments had a LOT of macrophytes
70,69,McLean,52.615348,-109.369339,2013-08-20,3:28:00 PM,0,6.5,24,No calibration because no oxygen sampled.  Salt plain formed ring around around while lake. Cattle graving on north east side.  Evaporative pan.  Very shallow.  Salt plain of 10-15m from shore to end.  Very muscky sediment.  Heather on a roap to get sample.  Diagram in field notes of the lake and the different regions
71,70,Sink,52.443573,-109.190351,2013-08-21,,0.67,2.8,18,Pump station for sewage.  Lagoon is connected to lake.
72,71,Macklin,52.31997,-109.949416,2013-08-21,8:14:00 AM,0.696,2.8,10,calibration was forced meter was recording too low.  Calibration while sitting in tap water. No visible in or ourflow but possible east at dyke.  Cottages along north shore.  Campground north area with a public beech. Cattle and pasture southeast of lake but don’t think they can get to lake.  Green algae bloom in litorial cyano? Streeky pattern aphani? Thick patches of algae looks like paint.  Machrophyte patches at 5-10m from shore.
73,72,Coldspring,52.347531,-108.592693,2013-08-21,8:33:00 AM,0.74,2.4,24,forced calibration.  No visible flow. Small dirt burms along road.  Agriculture to north though not along shore.  Thick mat of macrophytes at shores out to ~3m.  After clear sandy bottom.  Sothwest seem to be flooded as trees are dead and area is not a wetland
74,73,Thackery,52.542642,-108.68657,2013-08-21,8:45:00 AM,0.52,1.6,15,Agriculture at top of valley.  South may be a dam there.  North might be outflow.  Road goes through lake.  Person who drove by said the road was closed for 2 weeks in spring due to high runoff.  Lots of macrophytes
75,74,Eaglehill,52.362157,-108.968503,2013-08-21,10:55:00 AM,0.29,1.1,35,Smells like sewer.
76,75,Richmond,52.010246,-108.021454,2013-08-22,8:50:00 AM,0.16,1.8,22,agricuture on top of banks farms all around the lake.  Neither inflow or outflow visible
77,76,X3,51.93777,-107.577721,2013-08-22,2:00:00 PM,0.58,0.58,11,Agriculture on top of banks.  No visible inflow but a culvert by where we launched that might be a small outflow
78,77,Van Scoy,52.081379,-107.552726,2013-08-21,,0.9,0.9,10,Forced calibration jumping all around.  When calibrating temp was 27.4oC so might have been causing issues.  Secchi was visible at bottom.  Green noodle like vegitation along shoreline. Shore was very mucky and sinks.  Colver between the basins.  Road intersects the north and south basins.  Local RM told us tha tsandbars are visible during high winds in the lakes.  North basin dries up periodically.  Seems to get shallow at random spots on the lake.  Tried to find sample area releatively free of macrophytes
79,78,Deep,50.41623,-103.681597,2013-08-26,6:38:00 AM,0.4415,2.2,12,no visible inflow or outflow.  Agriculture in area (wheat canola).  Steep drop offs into lake basin.  Exposed clifts on west side are sandy.  Depth relatively uniform randing from 2.2.-2.6m
80,79,Chapleau,50.181708,-103.343929,2013-08-26,9:58:00 AM,0.209,1.4,12,Possibly connected to other Chapleau lakes non visible from sampling point.  Agriculture to north west cows feeding/ drinking from lake alone shoreline.  Trampled and bumpy due to cattle.  ~50 head of cattle.  Island in middle with pelecans and cormorants LOTS of rocks on the bottom of lake so be very careful.  Go to south of island.. So far away it’s a easier route and a bit deeper so you can use the motor easier
81,80,Round,50.540163,-102.367886,2013-08-26,1:06:00 PM,1.187,10.4,10,Flow connected to Qu'Appelle chain.  Campers and cottages fishing and boating common.  Cyano bloom CRAZY dense.  Aphani?
82,81,Stony Beach,50.50326,-105.194846,2013-08-27,10:17:00 PM,0.8835,2.7,15,potash mine ~13km south. Agriculture in area.  Macrophytes out into sample site.  Flooding on southeast corner more standing water since previous year when Heather was there.
83,82,Crooked,50.608299,-102.724626,2013-08-28,10:52:00 AM,0.624,10.2,13,"Flow connected to Qu'Appelle chain.  Cottages and camping, fishing,. Boating.  VERY hot outside"
84,83,Diefenbaker,51.098348,-106.622533,2013-08-29,9:00:00 AM,4.4,28.5,0,Flow.  Forgot 500um bucket so used 5000 net with 243 bucket and tried to rinse off sides of 500um mesh
85,84,Buffalo Pound,50.608245,-105.426535,2013-08-29,12:45:00 PM,0.48,4.1,4,flow. Forgot 500um bucket so used 5000 net with 243 bucket and tried to rinse off sides of 500um mesh.  REALLY BAD BLOOM
86,85,Katepwa,50.709939,-103.646447,2013-08-30,7:53:00 AM,1.15,22.4,20,flow
87,86,Last Mountain,51.101797,-105.263193,2013-08-30,10:03:00 AM,1.42,18.5,26,"part of qu'appelle. Boating, fishing, cottages, houses, provincial parks. 1 tow for phyto sedimetn soft and smooth"
88,87,Pasqua,50.79004,-103.943374,2013-08-30,10:05:00 AM,0.75,12.5,34,flow known
89,88,Opuntia,51.808829,-108.573124,2013-08-08,11:58:00 AM,1.45,1.6,9,"no visible in or outflow.  Oil rigs in area, cows on shoreline.  Looks like a party/ bonfire spot (be careful for glass).  Evaporative pan lake.  Macrophytes extended into middle of the lake.  On valley floor so probably mostly a runoff lake"
91,89,Charron,52.404288,-104.310145,2013-08-01,11:20:00 AM,2,8.8,15,Second pH meter used Integraded water sample from bucket handheald pH=8.9
92,90,Edouard,52.382578,-104.350314,2013-08-01,2:28:00 PM,0.5,5.6,15,Second pH meter usedwater sample from bucket  handheald pH=9.4
93,91,Little Manitou,51.736659,-105.523586,2013-08-01,10:48:00 AM,0.5,6.7,5,Second pH meter used handheald surface=8.6   3m=8.7    6m=8.7
94,92,Middle,52.562869,-105.194594,2013-08-06,8:54:00 AM,3.3,10,5,Second pH meter used handheald surface=9.0  5m=8.9    10m=8.4  Integrated=8.8
95,93,Arthur,52.563928,52.563928,2013-08-06,12:20:00 PM,3,6.7,15,
96,94,Wakaw,52.663265,-105.601008,2013-08-06,4:16:00 PM,1.3,10.3,15,Second pH meter used handheald surface=8.6  5m=8.5    9m= 8.2     10m=8.0  Integrated=8.6
97,95,Shannon,52.649965,-105.433425,2013-08-07,9:51:00 AM,1.1,11.2,5,Second pH meter used handheald surface=9.3  5m=9.1   11m=8.5  Integrated=9.1
98,96,Redberry,52.621283,-107.018894,2013-08-09,11:40:00 AM,5.8,14.8,5,Second pH meter used handheald surface=8.9  5m=8.9   10m= 8.9    14m=8.9  Integrated=8.9
99,97,Rabbit,52.608738,-107.018894,2013-08-09,1:20:00 PM,1,6.5,5,Second pH meter used handheald surface=9.1  3m=9.0   6.5m=8.2  Integrated=9.1
100,98,Success,50.492171,-108.016639,2013-08-17,9:20:00 AM,4.5,17.4,5,Second pH meter used handheald surface=9.3   4m=9.3   8m=8.2   12m= 7.9    16m=8  Integrated=9.3
101,99,Snakehole,50.50494,-108.489022,2013-08-17,1:17:00 PM,2.2,2.4,5,Second pH meter used handheald surface=8.8  1m=8.8  2m=8.6  Integrated=8.6
102,100,Antelope,50.275582,-108.391484,2013-08-17,4:05:00 PM,2.7,7.7,5,Second pH meter used handheald surface=9.3    4m=9.3  7m=9.3
103,101,Lac Pelletier,49.98639,-107.935497,2013-08-18,9:12:00 AM,0,8.8,15,Second pH meter used handheald surface=9.7    4m=9.5  8m=9.4
104,102,Fishing,51.815789,-103.471541,2013-08-20,9:30:00 AM,1.5,11.5,10,Second pH meter used handheald surface=9.3  5m=9.1  11m=9  Integrated=9.2
105,103,Humbolt,52.144261,-105.12045,2013-08-22,5:16:00 PM,1.5,6.3,20,Second pH meter used handheald surface=9.2  3m=9.2  6m=9.2  Integrated=9.2
106,104,Deadmoose,52.302819,-105.167261,2013-08-23,9:15:00 AM,3.1,15.1,10,Second pH meter used handheald surface=9.2   4m=9.2   9m=9   14m= 8.9      Integrated=9.3
107,105,Waldsea,52.260211,-105.181378,2013-08-23,1:00:00 PM,0,19.9,10,Second pH meter used handheald surface=9   4m=9   8m=8.8   19m= 7.5      Integrated=9
108,106,Lenore SB,52.446064,-105.004627,2013-08-26,11:45:00 AM,2.5,9.1,15,Second pH meter used handheald surface=9.4  5m=9.3  9m=9.3  Integrated=9.4
109,107,Lenore,52.508747,-104.974165,2013-08-26,3:04:00 PM,1.1,10.1,15,"Dead fish floading around: minnows, perch and cisco.   Second pH meter used handheald surface=9.3  5m=9.2  10m=8.7  Integrated=9.2"
110,108,Kipabiskau,52.568376,-104.183634,2013-08-27,1:10:00 PM,1.95,6.8,10,Second pH meter used handheald surface=9.1  3m=9.1  6m= 8.6 Integrated=9.1
111,109,Clair,51.987347,-104.061521,2013-08-27,5:16:00 PM,0,3,20,Second pH meter used handheald surface=9.5  1.5m=9.4  3m= 9.5    Integrated=9.5
