LAKE,Date,Date2,Replicate,LIGHT_O2_ppm,DARK_O2_ppm,LIGHT_Pois_O2_ppm,DARK_Pois_O2_ppm,NetOxy_ppm,RespOxy_ppm,Net_mgC_m3_h,Resp_mgC_m3_H,LightAzidemgCm3h,DarkAzidemgCm3h
B,09-Jun-97,1997-06-09,3,9.1,8.5,8.2,8,0.00,-0.60,0.00,-7.20,-10.80,-13.20
B,25-Jun-97,1997-06-25,1,5.8,5.1,4.1,3.7,0.60,-0.10,3.60,-0.60,-6.60,-9.00
B,25-Jun-97,1997-06-25,2,5.6,5.2,4.2,3.8,0.40,0.00,2.40,0.00,-6.00,-8.40
B,25-Jun-97,1997-06-25,3,5.4,5.3,4.1,3.6,0.20,0.10,1.20,0.60,-6.60,-9.60
B,08-Jul-97,1997-07-08,1,5,4,4.2,3.8,-1.00,-2.00,-12.00,-24.00,-21.60,-26.40
B,08-Jul-97,1997-07-08,2,4.5,3.8,4,3.8,-1.50,-2.20,-18.00,-26.40,-24.00,-26.40
B,08-Jul-97,1997-07-08,3,5,3.8,4.2,3.6,-1.00,-2.20,-12.00,-26.40,-21.60,-28.80
B,24-Jul-97,1997-07-24,1,6.2,4.8,5.2,5,-1.60,-3.00,-19.20,-36.01,-31.20,-33.61
B,24-Jul-97,1997-07-24,2,6,5,5.4,4.8,-1.80,-2.80,-21.60,-33.61,-28.80,-36.01
B,24-Jul-97,1997-07-24,3,6.6,4.8,4.8,4.7,-1.20,-3.00,-14.40,-36.01,-36.01,-37.21
B,05-Aug-97,1997-08-05,1,6,5.4,7.1,5.6,-1.70,-2.30,-20.40,-27.60,-7.20,-25.20
B,05-Aug-97,1997-08-05,2,5.4,5.5,5.7,5.4,-2.30,-2.20,-27.60,-26.40,-24.00,-27.60
B,05-Aug-97,1997-08-05,3,5.5,4.8,6.1,6,-2.20,-2.90,-26.40,-34.81,-19.20,-20.40
B,15-May-98,1998-05-15,1,6,5.5,4.5,4.5,-0.23,-0.73,-2.80,-8.80,-20.80,-20.80
B,15-May-98,1998-05-15,2,5.2,5.5,4.5,4.3,-1.03,-0.73,-12.40,-8.80,-20.80,-23.20
B,15-May-98,1998-05-15,3,5,5.6,4,4,-1.23,-0.63,-14.80,-7.60,-26.80,-26.80
B,01-Jun-98,1998-06-01,1,6.3,6.4,6.4,6.2,0.17,0.27,2.00,3.20,3.20,0.80
B,01-Jun-98,1998-06-01,2,6.6,6.4,6.2,6.2,0.47,0.27,5.60,3.20,0.80,0.80
B,01-Jun-98,1998-06-01,3,6.7,6.2,6.3,6.3,0.57,0.07,6.80,0.80,2.00,2.00
B,15-Jun-98,1998-06-15,1,4.6,4.4,4.4,4.4,-2.32,-2.52,-27.80,-30.20,-30.20,-30.20
B,15-Jun-98,1998-06-15,2,4.7,4.4,4.5,4.5,-2.22,-2.52,-26.60,-30.20,-29.00,-29.00
B,15-Jun-98,1998-06-15,3,4.6,4.2,4.4,4.4,-2.32,-2.72,-27.80,-32.60,-30.20,-30.20
B,30-Jun-98,1998-06-30,1,8.9,8.4,8.6,8.4,-2.17,-2.67,-13.00,-16.00,-14.80,-16.00
B,30-Jun-98,1998-06-30,2,9.2,8.2,8.5,8.3,-1.87,-2.87,-11.20,-17.20,-15.40,-16.60
B,30-Jun-98,1998-06-30,3,9,8.4,8.3,8.4,-2.07,-2.67,-12.40,-16.00,-16.60,-16.00
B,15-Jul-98,1998-07-15,1,9.2,8.6,8.3,8.3,-0.57,-1.17,-3.40,-7.00,-8.80,-8.80
B,15-Jul-98,1998-07-15,2,9,8.5,8.5,8.2,-0.77,-1.27,-4.60,-7.60,-7.60,-9.40
B,15-Jul-98,1998-07-15,3,8.9,8.6,8.4,8.2,-0.87,-1.17,-5.20,-7.00,-8.20,-9.40
B,31-Jul-98,1998-07-31,1,8,0,2.5,0,3.60,-4.40,21.60,-26.40,-11.40,-26.40
B,31-Jul-98,1998-07-31,2,7.5,0,2,0,3.10,-4.40,18.60,-26.40,-14.40,-26.40
B,31-Jul-98,1998-07-31,3,8.3,0,2,0,3.90,-4.40,23.40,-26.40,-14.40,-26.40
B,21-Aug-98,1998-08-21,1,4.6,4.6,5.8,4.9,-1.90,-1.90,-5.70,-5.70,-2.10,-4.80
B,21-Aug-98,1998-08-21,2,4.6,4.6,5,4.7,-1.90,-1.90,-5.70,-5.70,-4.50,-5.40
B,21-Aug-98,1998-08-21,3,4.2,4.2,5.2,4.9,-2.30,-2.30,-6.90,-6.90,-3.90,-4.80
B,22-Sep-98,1998-09-22,1,5.4,4,4.1,3.9,0.97,-0.43,11.60,-5.20,-4.00,-6.40
B,22-Sep-98,1998-09-22,2,5.6,3.9,4.2,3.8,1.17,-0.53,14.00,-6.40,-2.80,-7.60
B,22-Sep-98,1998-09-22,3,5.6,3.6,4.3,4,1.17,-0.83,14.00,-10.00,-1.60,-5.20
B,17-May-99,1999-05-17,1,8.2,7.2,7.2,7.2,-1.00,-2.00,-11.30,-22.59,-22.59,-22.59
B,17-May-99,1999-05-17,2,8,7.1,7.1,7,-1.20,-2.10,-13.55,-23.72,-23.72,-24.85
B,17-May-99,1999-05-17,3,7.9,7.2,7.2,7,-1.30,-2.00,-14.68,-22.59,-22.59,-24.85
B,30-May-99,1999-05-30,1,8.2,7.4,7.4,7.2,-1.90,-2.70,-22.80,-32.40,-32.40,-34.81
B,30-May-99,1999-05-30,2,8,7.2,7.2,7.2,-2.10,-2.90,-25.20,-34.81,-34.81,-34.81
B,30-May-99,1999-05-30,3,8,7.2,7.2,7.3,-2.10,-2.90,-25.20,-34.81,-34.81,-33.61
B,14-Jun-99,1999-06-14,1,10,8.2,8.2,8.4,0.50,-1.30,6.00,-15.60,-15.60,-13.20
B,14-Jun-99,1999-06-14,2,10.6,8.2,8.2,8.3,1.10,-1.30,13.20,-15.60,-15.60,-14.40
B,14-Jun-99,1999-06-14,3,10.4,8.2,8.6,8.3,0.90,-1.30,10.80,-15.60,-10.80,-14.40
B,04-Jul-99,1999-07-04,1,11.2,7.8,8.8,8.4,2.20,-1.20,26.40,-14.40,-2.40,-7.20
B,04-Jul-99,1999-07-04,2,11.2,7.8,9.4,8.1,2.20,-1.20,26.40,-14.40,4.80,-10.80
B,04-Jul-99,1999-07-04,3,11.2,7.8,9.4,8.2,2.20,-1.20,26.40,-14.40,4.80,-9.60
B,13-Jul-99,1999-07-13,1,10.6,8,10.3,8.2,2.30,-0.30,26.50,-3.46,23.04,-1.15
B,13-Jul-99,1999-07-13,2,11.1,8,10.8,8.2,2.80,-0.30,32.26,-3.46,28.80,-1.15
B,13-Jul-99,1999-07-13,3,10.6,7.8,10.6,8.2,2.30,-0.50,26.50,-5.76,26.50,-1.15
B,06-Aug-99,1999-08-06,1,10,8,9,7.9,1.40,-0.60,9.27,-3.97,2.65,-4.64
B,06-Aug-99,1999-08-06,2,9.6,7.4,8.8,8.2,1.00,-1.20,6.62,-7.95,1.32,-2.65
B,06-Aug-99,1999-08-06,3,9.8,7.8,8.2,7.8,1.20,-0.80,7.95,-5.30,-2.65,-5.30
B,20-Aug-99,1999-08-20,1,10.6,9,9.5,9,2.00,0.40,23.04,4.61,10.37,4.61
B,20-Aug-99,1999-08-20,2,11,8.9,9.6,8.8,2.40,0.30,27.65,3.46,11.52,2.30
B,20-Aug-99,1999-08-20,3,11.8,9,9.5,9,3.20,0.40,36.87,4.61,10.37,4.61
B,28-Aug-99,1999-08-28,1,11.4,9.6,12.3,9.7,1.30,-0.50,7.56,-2.91,12.80,-2.33
B,28-Aug-99,1999-08-28,2,11.1,9.6,11,9.7,1.00,-0.50,5.82,-2.91,5.24,-2.33
B,28-Aug-99,1999-08-28,3,12,9.4,11.1,9.5,1.90,-0.70,11.06,-4.07,5.82,-3.49
B,07-May-00,2000-05-07,1,10.1,6.2,5,6,0.90,-3.00,10.80,-36.01,-50.41,-38.41
B,07-May-00,2000-05-07,2,8.9,6.5,5.5,5.7,-0.30,-2.70,-3.60,-32.40,-44.41,-42.01
B,07-May-00,2000-05-07,3,9.7,6.5,5.3,5.1,0.50,-2.70,6.00,-32.40,-46.81,-49.21
B,19-May-00,2000-05-19,1,9.4,6.3,7.1,6,0.20,-2.90,2.26,-32.76,-23.72,-36.15
B,19-May-00,2000-05-19,2,9.6,6.3,7,5.5,0.40,-2.90,4.52,-32.76,-24.85,-41.79
B,19-May-00,2000-05-19,3,9.6,6.5,7.3,5.7,0.40,-2.70,4.52,-30.50,-21.46,-39.54
B,05-Jun-00,2000-06-05,1,9,8.6,8.5,7.6,0.80,0.40,4.70,2.35,1.76,-3.53
B,05-Jun-00,2000-06-05,2,9.2,7.6,8.6,7.6,1.00,-0.60,5.88,-3.53,2.35,-3.53
B,05-Jun-00,2000-06-05,3,8.9,7.5,8.6,7.6,0.70,-0.70,4.11,-4.11,2.35,-3.53
B,20-Jun-00,2000-06-20,1,9.8,8.2,8.7,8.1,1.40,-0.20,17.53,-2.50,3.76,-3.76
B,20-Jun-00,2000-06-20,2,9.1,8.2,8.8,8.2,0.70,-0.20,8.77,-2.50,5.01,-2.50
B,20-Jun-00,2000-06-20,3,9.6,8.2,9.2,8.1,1.20,-0.20,15.03,-2.50,10.02,-3.76
B,07-Jul-00,2000-07-07,1,8.6,7,7.2,6.2,0.90,-0.70,11.78,-9.17,-6.55,-19.64
B,07-Jul-00,2000-07-07,2,8.6,6.8,7,6,0.90,-0.90,11.78,-11.78,-9.17,-22.26
B,07-Jul-00,2000-07-07,3,8,7.1,7.6,6.2,0.30,-0.60,3.93,-7.86,-1.31,-19.64
B,24-Jul-00,2000-07-24,1,10.6,7.8,10.4,7.8,2.50,-0.30,27.70,-3.32,25.48,-3.32
B,24-Jul-00,2000-07-24,2,11.1,7.8,10.8,7.6,3.00,-0.30,33.24,-3.32,29.91,-5.54
B,24-Jul-00,2000-07-24,3,11.6,7.9,10.4,7.6,3.50,-0.20,38.78,-2.22,25.48,-5.54
B,08-Aug-00,2000-08-08,1,10.6,8.4,7.8,7.8,2.90,0.70,33.41,8.07,1.15,1.15
B,08-Aug-00,2000-08-08,2,10.6,8.2,8.2,7.4,2.90,0.50,33.41,5.76,5.76,-3.46
B,08-Aug-00,2000-08-08,3,10.4,8,8,7,2.70,0.30,31.11,3.46,3.46,-8.07
B,22-Aug-00,2000-08-22,1,11.95,7.8,8.4,7.5,3.85,-0.30,44.36,-3.46,3.46,-6.91
B,22-Aug-00,2000-08-22,2,11.4,7.6,8.3,7.55,3.30,-0.50,38.02,-5.76,2.30,-6.34
B,22-Aug-00,2000-08-22,3,11.6,7.75,8.25,7.7,3.50,-0.35,40.33,-4.03,1.73,-4.61
B,04-May-01,2001-05-04,1,10.4,10.6,11,10.9,0.40,0.60,4.80,7.20,12.00,10.80
B,04-May-01,2001-05-04,2,10.8,10.5,10.9,10.8,0.80,0.50,9.60,6.00,10.80,9.60
B,04-May-01,2001-05-04,3,11.3,10.4,10.8,10.9,1.30,0.40,15.60,4.80,9.60,10.80
B,16-May-01,2001-05-16,1,10.65,9.9,10.4,10.65,0.85,0.10,9.99,1.18,7.05,9.99
B,16-May-01,2001-05-16,2,11.1,9.5,10.5,10.3,1.30,-0.30,15.28,-3.53,8.23,5.88
B,16-May-01,2001-05-16,3,11.4,10,10.6,10.6,1.60,0.20,18.81,2.35,9.41,9.41
B,06-Jun-01,2001-06-06,1,11.4,10,10.5,10.4,0.50,-0.90,5.76,-10.37,-4.61,-5.76
B,06-Jun-01,2001-06-06,2,11.2,10.1,10.5,10.3,0.30,-0.80,3.46,-9.22,-4.61,-6.91
B,06-Jun-01,2001-06-06,3,10.95,10.3,10.3,10.4,0.05,-0.60,0.58,-6.91,-6.91,-5.76
B,15-Jun-01,2001-06-15,1,13.2,10.2,11.1,10.5,,,,,,
B,15-Jun-01,2001-06-15,2,13.4,10.1,11.2,10.5,,,,,,
B,15-Jun-01,2001-06-15,3,14.6,10.1,11.2,10.4,,,,,,
B,25-Jun-01,2001-06-25,1,11.6,9.3,10,9.78,1.40,-0.90,9.90,-6.36,-1.41,-2.97
B,25-Jun-01,2001-06-25,2,11.2,9.1,10.1,9.7,1.00,-1.10,7.07,-7.78,-0.71,-3.53
B,25-Jun-01,2001-06-25,3,11.4,9.4,10.05,9.58,1.20,-0.80,8.48,-5.65,-1.06,-4.38
B,13-Jul-01,2001-07-13,1,10.2,9.3,9.3,9.4,1.60,0.70,23.04,10.08,10.08,11.52
B,13-Jul-01,2001-07-13,2,10,8.8,9,9.5,1.40,0.20,20.16,2.88,5.76,12.96
B,13-Jul-01,2001-07-13,3,9.8,9,9.5,9.4,1.20,0.40,17.28,5.76,12.96,11.52
B,27-Jul-01,2001-07-27,1,10.4,8.6,8.9,8.5,1.80,0.00,21.60,0.00,3.60,-1.20
B,27-Jul-01,2001-07-27,2,10.8,8.6,9.1,8.7,2.20,0.00,26.40,0.00,6.00,1.20
B,27-Jul-01,2001-07-27,3,10.5,8.1,8.8,8.5,1.90,-0.50,22.80,-6.00,2.40,-1.20
B,09-Aug-01,2001-08-09,1,9.9,8.4,9,9,1.30,-0.20,17.02,-2.62,5.24,5.24
B,09-Aug-01,2001-08-09,2,10.4,8.9,9,8.6,1.80,0.30,23.57,3.93,5.24,0.00
B,09-Aug-01,2001-08-09,3,10.2,8.6,8.9,8.9,1.60,0.00,20.95,0.00,3.93,3.93
B,28-Aug-01,2001-08-28,1,12.1,9.8,10.8,10.2,2.70,0.40,33.81,5.01,17.53,10.02
B,28-Aug-01,2001-08-28,2,12.2,10,10.6,10.2,2.80,0.60,35.07,7.51,15.03,10.02
B,28-Aug-01,2001-08-28,3,12.7,10,11.1,10.3,3.30,0.60,41.33,7.51,21.29,11.27
B,08-May-02,2002-05-08,1,9.2,8.2,8.6,8.3,-1.80,-2.80,-21.60,-33.61,-28.80,-32.40
B,08-May-02,2002-05-08,2,9.2,8,8.6,8.6,-1.80,-3.00,-21.60,-36.01,-28.80,-28.80
B,08-May-02,2002-05-08,3,8.2,8.1,8.7,8.6,-2.80,-2.90,-33.61,-34.81,-27.60,-28.80
B,23-May-02,2002-05-23,1,5.8,5.1,5.3,5.3,-0.20,-0.90,-2.43,-10.92,-8.49,-8.49
B,23-May-02,2002-05-23,2,5.6,5.1,5.3,5.2,-0.40,-0.90,-4.85,-10.92,-8.49,-9.70
B,23-May-02,2002-05-23,3,5.4,5,5.1,5.2,-0.60,-1.00,-7.28,-12.13,-10.92,-9.70
B,05-Jun-02,2002-06-05,1,11.4,,10.5,10.2,1.00,,12.52,,1.25,-2.50
B,05-Jun-02,2002-06-05,2,11.6,10.2,10.4,10.2,1.20,-0.20,15.03,-2.50,0.00,-2.50
B,05-Jun-02,2002-06-05,3,11.6,10.1,10.6,10.2,1.20,-0.30,15.03,-3.76,2.50,-2.50
B,20-Jun-02,2002-06-20,1,10.8,8.8,9.7,8.8,1.70,-0.30,22.26,-3.93,7.86,-3.93
B,20-Jun-02,2002-06-20,2,10.9,9.2,9.8,9,1.80,0.10,23.57,1.31,9.17,-1.31
B,20-Jun-02,2002-06-20,3,10.8,8.8,9.7,9,1.70,-0.30,22.26,-3.93,7.86,-1.31
B,03-Jul-02,2002-07-03,1,10.5,8.6,9.1,8.6,1.70,-0.20,18.73,-2.20,3.30,-2.20
B,03-Jul-02,2002-07-03,2,10.3,8.3,9.1,8.6,1.50,-0.50,16.52,-5.51,3.30,-2.20
B,03-Jul-02,2002-07-03,3,10.2,8.1,8.9,8.5,1.40,-0.70,15.42,-7.71,1.10,-3.30
B,22-Jul-02,2002-07-22,1,9.9,7.1,8.2,7.8,3.40,0.60,40.06,7.07,20.03,15.32
B,22-Jul-02,2002-07-22,2,10.1,7.5,8.4,7.8,3.60,1.00,42.41,11.78,22.38,15.32
B,22-Jul-02,2002-07-22,3,10.1,7.3,8.6,7.8,3.60,0.80,42.41,9.42,24.74,15.32
B,06-Aug-02,2002-08-06,1,9.9,7.8,8.2,7.8,2.70,0.60,34.19,7.60,12.66,7.60
B,06-Aug-02,2002-08-06,2,9.2,7.8,8.2,7.8,2.00,0.60,25.32,7.60,12.66,7.60
B,06-Aug-02,2002-08-06,3,9.2,7.8,8.3,7.9,2.00,0.60,25.32,7.60,13.93,8.86
B,19-Aug-02,2002-08-19,1,8.56,8.07,10.06,8.21,-0.84,-1.33,-9.31,-14.73,7.31,-13.18
B,19-Aug-02,2002-08-19,2,9.29,7.77,9.14,8.16,-0.11,-1.63,-1.22,-18.06,-2.88,-13.74
B,19-Aug-02,2002-08-19,3,8.51,7.98,9.1,7.97,-0.89,-1.42,-9.86,-15.73,-3.32,-15.84
B,06-May-03,2003-05-06,1,9.46,8.62,8.54,8.65,-0.21,-1.05,-2.63,-13.15,-14.15,-12.77
B,06-May-03,2003-05-06,2,9.64,8.6,8.8,8.67,-0.03,-1.07,-0.38,-13.40,-10.90,-12.52
B,06-May-03,2003-05-06,3,9.42,8.53,8.73,8.66,-0.25,-1.14,-3.13,-14.28,-11.77,-12.65
B,21-May-03,2003-05-21,1,11.1,9.44,9.4,9.25,1.30,-0.36,15.60,-4.32,-4.80,-6.60
B,21-May-03,2003-05-21,2,11.7,9.14,9.27,9.18,1.90,-0.66,22.80,-7.92,-6.36,-7.44
B,21-May-03,2003-05-21,3,10.71,9.23,9.53,9.21,0.91,-0.57,10.92,-6.84,-3.24,-7.08
B,04-Jun-03,2003-06-04,1,11.23,9.38,9.41,8.67,2.23,0.38,26.76,4.56,4.92,-3.96
B,04-Jun-03,2003-06-04,2,11.68,8.83,9.37,8.69,2.68,-0.17,32.16,-2.04,4.44,-3.72
B,04-Jun-03,2003-06-04,3,11.79,8.93,9.78,8.77,2.79,-0.07,33.49,-0.84,9.36,-2.76
B,20-Jun-03,2003-06-20,1,12.25,7.8,8.68,7.82,5.08,0.63,60.97,7.56,18.12,7.80
B,20-Jun-03,2003-06-20,2,12.3,7.76,8.59,7.6,5.13,0.59,61.57,7.08,17.04,5.16
B,20-Jun-03,2003-06-20,3,11.63,7.95,8.87,7.73,4.46,0.78,53.53,9.36,20.40,6.72
B,27-Jun-03,2003-06-27,1,13.16,8.1,9.8,9.39,4.73,-0.33,56.77,-3.96,16.44,11.52
B,27-Jun-03,2003-06-27,2,14.8,9.48,9.46,9.83,6.37,1.05,76.45,12.60,12.36,16.80
B,27-Jun-03,2003-06-27,3,14.51,8.48,10.3,9.03,6.08,0.05,72.97,0.60,22.44,7.20
B,14-Jul-03,2003-07-14,1,15.41,8.21,9.04,7.96,7.75,0.55,91.12,6.47,16.22,3.53
B,14-Jul-03,2003-07-14,2,13.41,8.47,9.74,7.88,5.75,0.81,67.60,9.52,24.45,2.59
B,14-Jul-03,2003-07-14,3,12.66,8.26,9.23,7.43,5.00,0.60,58.78,7.05,18.46,-2.70
B,29-Jul-03,2003-07-29,1,15.58,8.23,11.25,7.28,7.82,0.47,93.85,5.64,41.89,-5.76
B,29-Jul-03,2003-07-29,2,17.34,8.92,13.52,7.26,9.58,1.16,114.98,13.92,69.13,-6.00
B,29-Jul-03,2003-07-29,3,14.87,7.11,12.26,7.88,7.11,-0.65,85.33,-7.80,54.01,1.44
B,13-Aug-03,2003-08-13,1,11.54,9.29,10.45,9.24,4.11,1.86,43.44,19.66,31.92,19.13
B,13-Aug-03,2003-08-13,2,11.39,10.3,10.67,9.29,3.96,2.87,41.86,30.34,34.25,19.66
B,13-Aug-03,2003-08-13,3,11.85,9.86,11.89,9.2,4.42,2.43,46.72,25.69,47.14,18.71
B,20-Aug-03,2003-08-20,1,5.63,5.6,6.3,6.23,-2.03,-2.06,-24.36,-24.72,-16.32,-17.16
B,20-Aug-03,2003-08-20,2,6.23,5.56,6.67,6.31,-1.43,-2.10,-17.16,-25.20,-11.88,-16.20
B,20-Aug-03,2003-08-20,3,6.42,5.72,6.58,5.92,-1.24,-1.94,-14.88,-23.28,-12.96,-20.88
B,07-May-04,2004-05-07,1,8.24,7.98,7.18,7.81,-0.84,-1.10,-10.21,-13.37,-23.09,-15.44
B,07-May-04,2004-05-07,2,7.85,8.17,8.35,7.62,-1.23,-0.91,-14.95,-11.06,-8.87,-17.74
B,07-May-04,2004-05-07,3,7.87,7.3,7.94,7.78,-1.21,-1.78,-14.71,-21.63,-13.86,-15.80
B,26-May-04,2004-05-26,1,9.11,8.33,8.12,8.38,-1.27,-2.05,-17.42,-28.12,-31.00,-27.43
B,26-May-04,2004-05-26,2,8.68,8.14,8.07,8.36,-1.70,-2.24,-23.32,-30.72,-31.68,-27.71
B,26-May-04,2004-05-26,3,8.51,8.15,8.03,8.29,-1.87,-2.23,-25.65,-30.59,-32.23,-28.67
B,04-Jun-04,2004-06-04,1,9.38,8.51,8.64,8.43,-0.03,-0.90,-0.36,-10.80,-9.24,-11.76
B,04-Jun-04,2004-06-04,2,9.44,8.3,8.43,8.38,0.03,-1.11,0.36,-13.32,-11.76,-12.36
B,04-Jun-04,2004-06-04,3,9.21,8.45,8.6,8.47,-0.20,-0.96,-2.40,-11.52,-9.72,-11.28
B,16-Jun-04,2004-06-16,1,10.24,9.78,9.86,9.73,1.78,1.32,21.36,15.84,16.80,15.24
B,16-Jun-04,2004-06-16,2,10.24,9.62,9.98,9.91,1.78,1.16,21.36,13.92,18.24,17.40
B,16-Jun-04,2004-06-16,3,10.38,9.48,9.72,9.63,1.92,1.02,23.04,12.24,15.12,14.04
B,28-Jun-04,2004-06-28,1,10.27,10.32,10.33,10.37,-1.02,-0.97,-12.34,-11.74,-11.62,-11.13
B,28-Jun-04,2004-06-28,2,10.44,10.34,10.27,10.41,-0.85,-0.95,-10.29,-11.50,-12.34,-10.65
B,28-Jun-04,2004-06-28,3,10.3,10.21,10.33,10.46,-0.99,-1.08,-11.98,-13.07,-11.62,-10.05
B,12-Jul-04,2004-07-12,1,8.67,8.17,8.16,8.22,0.35,-0.15,4.33,-1.85,-1.98,-1.24
B,12-Jul-04,2004-07-12,2,8.74,8.26,8.19,8.13,0.42,-0.06,5.19,-0.74,-1.61,-2.35
B,12-Jul-04,2004-07-12,3,8.57,7.89,8.15,8.08,0.25,-0.43,3.09,-5.32,-2.10,-2.97
B,29-Jul-04,2004-07-29,1,8.25,8.21,8.18,7.69,0.12,0.08,1.56,1.04,0.65,-5.71
B,29-Jul-04,2004-07-29,2,8.14,7.98,8.17,8.24,0.01,-0.15,0.13,-1.95,0.52,1.43
B,29-Jul-04,2004-07-29,3,8.24,8.49,8.37,8.23,0.11,0.36,1.43,4.67,3.11,1.30
B,11-Aug-04,2004-08-11,1,9.13,8.53,8.39,8.12,1.22,0.62,13.62,6.92,5.36,2.34
B,11-Aug-04,2004-08-11,2,8.95,8.37,8.33,8.07,1.04,0.46,11.61,5.14,4.69,1.79
B,11-Aug-04,2004-08-11,3,9.08,8.19,8.25,8.14,1.17,0.28,13.06,3.13,3.80,2.57
B,10-May-05,2005-05-10,1,7.84,7.14,7.85,7.22,-2.00,-2.70,-24.51,-33.09,-24.39,-32.11
B,10-May-05,2005-05-10,2,7.23,7.42,8.05,7.34,-2.61,-2.42,-31.99,-29.66,-21.94,-30.64
B,10-May-05,2005-05-10,3,7.54,7.36,7.59,7.2,-2.30,-2.48,-28.19,-30.40,-27.58,-32.36
B,20-May-05,2005-05-20,1,7.41,8.35,7.68,7.29,-0.77,0.17,-7.65,1.69,-4.97,-8.84
B,20-May-05,2005-05-20,2,7.49,8.27,7.75,7.1,-0.69,0.09,-6.85,0.89,-4.27,-10.73
B,20-May-05,2005-05-20,3,7.44,8.29,7.46,7.16,-0.74,0.11,-7.35,1.09,-7.15,-10.13
B,03-Jun-05,2005-06-03,1,9.63,8.8,8.5,7.79,0.65,-0.18,7.49,-2.07,-5.53,-13.71
B,03-Jun-05,2005-06-03,2,9.51,9.26,8.34,8.08,0.53,0.28,6.11,3.23,-7.37,-10.37
B,03-Jun-05,2005-06-03,3,9.54,9.02,8.14,7.81,0.56,0.04,6.45,0.46,-9.68,-13.48
B,17-Jun-05,2005-06-17,1,9.41,8.35,9.06,8.23,3.29,2.23,39.08,26.49,34.92,25.06
B,17-Jun-05,2005-06-17,2,9.33,8.63,8.83,8.08,3.21,2.51,38.13,29.81,32.19,23.28
B,17-Jun-05,2005-06-17,3,9.2,8.32,8.76,7.92,3.08,2.20,36.58,26.13,31.36,21.38
B,30-Jun-05,2005-06-30,1,7.61,7.3,6.98,6.67,0.95,0.64,12.58,8.48,4.24,0.13
B,30-Jun-05,2005-06-30,2,7.73,7.42,6.7,6.69,1.07,0.76,14.17,10.06,0.53,0.40
B,30-Jun-05,2005-06-30,3,7.8,7.35,6.95,6.88,1.14,0.69,15.10,9.14,3.84,2.91
