LAKE,Date,Date2,TreatmentNewLabel,TreatmentOldLabel,Repl_1_3,Reading_a_b_c,VolFiltered_L,ExtractVol_mL,ScanNo,A480,A630C,A645B,A665A,A750,Chl_a_ug_L,CHLB,CHLC,Total_chl,Chl_comment
B,08-Jul-97,1997-07-08,63_um,63UM,2,a,0.25,5.00,,0.08,0.02,0.03,0.07,0.01,13.67,0.25,0.40,14.35,
B,08-Jul-97,1997-07-08,Integrated,I,1,a,0.25,5.00,,0.07,0.02,0.02,0.07,0.00,14.97,-0.08,2.04,17.01,
B,08-Jul-97,1997-07-08,Integrated,I,2,a,0.25,5.00,,0.07,0.02,0.02,0.08,0.00,16.85,0.07,2.51,19.46,
B,08-Jul-97,1997-07-08,Integrated,I,3,a,0.25,5.00,,0.07,0.02,0.02,0.08,0.00,17.03,-0.17,2.13,19.13,
B,08-Jul-97,1997-07-08,Integrated,I,4,a,0.25,5.00,,0.07,0.01,0.02,0.07,0.00,14.93,-0.07,1.82,16.74,
B,08-Jul-97,1997-07-08,Surface,S,1,a,0.40,5.00,,0.10,0.03,0.04,0.11,0.00,15.53,2.04,2.83,20.41,
B,24-Jul-97,1997-07-24,63_um,63UM,1,a,0.50,5.00,,0.19,0.06,0.08,0.23,0.01,25.17,1.33,3.05,29.57,
B,24-Jul-97,1997-07-24,63_um,63UM,2,a,0.50,5.00,,0.15,0.04,0.05,0.18,0.00,20.44,-1.03,2.36,22.81,
B,24-Jul-97,1997-07-24,Integrated,I,1,a,0.50,5.00,,0.20,0.06,0.08,0.25,0.00,28.23,1.59,3.42,33.21,
B,24-Jul-97,1997-07-24,Integrated,I,2,a,0.50,5.00,,0.20,0.06,0.08,0.26,0.00,28.78,1.32,2.59,32.70,
B,24-Jul-97,1997-07-24,Surface,S,1,a,0.50,5.00,,0.19,0.06,0.08,0.24,0.00,27.49,1.77,3.91,33.14,
B,05-Aug-97,1997-08-05,63_um,63UM,1,a,0.50,5.00,,0.12,0.03,0.05,0.16,0.00,17.96,1.17,1.01,20.15,
B,05-Aug-97,1997-08-05,63_um,63UM,2,a,0.50,5.00,,0.12,0.04,0.05,0.15,0.00,17.29,1.75,2.01,21.05,
B,05-Aug-97,1997-08-05,Integrated,I,1,a,0.50,5.00,,0.27,0.06,0.09,0.32,0.01,35.32,-0.04,1.84,37.15,
B,05-Aug-97,1997-08-05,Integrated,I,2,a,0.50,5.00,,0.29,0.06,0.09,0.20,0.00,21.86,6.37,4.21,32.43,
B,05-Aug-97,1997-08-05,Surface,S,1,a,0.50,5.00,,0.26,0.07,0.11,0.34,0.00,38.76,2.31,3.34,44.40,
B,21-Aug-97,1997-08-21,63_um,63UM,1,a,0.44,5.00,,0.12,0.04,0.06,0.17,0.00,21.19,1.57,2.41,25.17,
B,21-Aug-97,1997-08-21,63_um,63UM,2,a,0.44,5.00,,0.12,0.04,0.05,0.16,0.00,19.81,1.67,2.71,24.16,
B,21-Aug-97,1997-08-21,Integrated,I,1,a,0.40,5.00,,0.27,0.06,0.09,0.32,0.00,45.06,1.10,3.65,49.79,
B,21-Aug-97,1997-08-21,Integrated,I,2,a,0.40,5.00,,0.29,0.06,0.09,0.31,0.00,43.61,1.36,3.78,48.72,
B,21-Aug-97,1997-08-21,Surface,S,1,a,0.30,5.00,,0.26,0.07,0.10,0.34,0.00,64.69,2.27,6.26,73.25,
B,15-May-98,1998-05-15,Integrated,I,1,a,1.00,5.00,,0.04,0.01,0.01,0.04,0.00,2.46,0.26,0.61,3.34,
B,15-May-98,1998-05-15,Integrated,I,2,a,1.00,5.00,,0.05,0.01,0.02,0.05,0.00,2.50,0.09,0.36,2.95,
B,15-May-98,1998-05-15,Surface,S,1,a,1.00,5.00,,0.04,0.01,0.01,0.04,0.00,2.27,0.21,0.54,3.03,
B,01-Jun-98,1998-06-01,Integrated,I,1,a,1.00,5.00,,0.11,0.03,0.04,0.11,0.00,5.94,0.28,1.03,7.26,
B,01-Jun-98,1998-06-01,Integrated,I,2,a,1.00,5.00,,0.09,0.02,0.03,0.09,0.00,4.80,0.10,0.62,5.52,
B,01-Jun-98,1998-06-01,Surface,S,1,a,1.00,5.00,,0.09,0.03,0.04,0.10,0.01,5.24,0.19,0.76,6.19,
B,15-Jun-98,1998-06-15,Integrated,I,1,a,1.00,5.00,,0.10,0.03,0.03,0.08,0.00,4.48,0.55,1.70,6.73,
B,15-Jun-98,1998-06-15,Integrated,I,2,a,1.00,5.00,,0.10,0.03,0.03,0.08,0.00,4.56,0.68,1.96,7.20,
B,15-Jun-98,1998-06-15,Surface,S,1,a,1.00,5.00,,0.12,0.04,0.03,0.08,0.00,4.79,0.91,2.55,8.25,
B,30-Jun-98,1998-06-30,Integrated,I,1,a,0.50,5.00,,0.12,0.03,0.04,0.15,0.00,17.07,-1.00,2.02,19.09,
B,30-Jun-98,1998-06-30,Integrated,I,2,a,0.50,5.00,,0.13,0.03,0.04,0.14,0.00,15.02,-0.29,2.61,17.63,
B,30-Jun-98,1998-06-30,Surface,S,1,a,1.00,5.00,,0.18,0.03,0.04,0.16,0.00,9.47,-0.25,1.34,10.82,
B,15-Jul-98,1998-07-15,Integrated,I,1,a,0.50,5.00,,0.24,0.07,0.09,0.32,0.00,36.57,-0.17,4.08,40.64,
B,15-Jul-98,1998-07-15,Integrated,I,2,a,0.50,5.00,,0.31,0.07,0.09,0.33,0.01,36.98,-0.82,3.85,40.83,
B,15-Jul-98,1998-07-15,Surface,S,1,a,0.50,5.00,,0.35,0.09,0.12,0.45,0.00,50.56,-1.17,5.49,56.06,
B,31-Jul-98,1998-07-31,Integrated,I,1,a,0.25,5.00,,0.22,0.05,0.06,0.22,0.00,51.35,0.81,8.14,60.29,
B,31-Jul-98,1998-07-31,Integrated,I,2,a,0.25,5.00,,0.23,0.05,0.07,0.24,0.00,52.88,0.16,7.20,60.24,
B,31-Jul-98,1998-07-31,Surface,S,1,a,0.50,5.00,,0.32,0.07,0.09,0.31,0.00,35.51,0.59,4.73,40.83,
B,21-Aug-98,1998-08-21,Integrated,I,1,a,0.50,5.00,,0.54,0.14,0.18,0.71,0.00,80.65,-4.35,8.13,88.79,
B,21-Aug-98,1998-08-21,Integrated,I,2,a,0.50,5.00,,0.57,0.15,0.19,0.75,0.00,86.22,-4.04,9.68,95.90,
B,21-Aug-98,1998-08-21,Surface,S,1,a,0.50,5.00,,0.47,0.12,0.16,0.60,0.00,68.77,-3.60,7.86,76.63,
B,22-Sep-98,1998-09-22,Integrated,I,1,a,0.50,5.00,,0.31,0.06,0.08,0.27,0.01,29.66,-1.28,3.31,32.97,
B,22-Sep-98,1998-09-22,Integrated,I,2,a,0.50,5.00,,0.28,0.05,0.06,0.25,0.00,28.38,-1.42,3.18,31.56,
B,22-Sep-98,1998-09-22,Surface,S,1,a,0.50,5.00,,0.29,0.05,0.06,0.25,0.00,29.22,-1.64,3.18,32.39,
B,05-May-99,1999-05-05,Integrated,I,1,a,0.23,5.00,,,,,,,11.49,0.77,0.31,12.57,
B,05-May-99,1999-05-05,Integrated,I,2,a,0.23,5.00,,,,,,,10.09,0.42,-0.10,10.51,
B,05-May-99,1999-05-05,Surface,S,1,a,0.23,5.00,,,,,,,11.15,0.82,-0.31,11.97,
B,17-May-99,1999-05-17,Integrated,I,1,a,0.40,5.00,,,,,,,4.68,-0.13,0.80,5.48,
B,17-May-99,1999-05-17,Integrated,I,2,a,0.40,5.00,,,,,,,4.33,1.26,-0.15,5.60,
B,17-May-99,1999-05-17,Surface,S,1,a,0.40,5.00,,,,,,,2.89,-0.66,0.78,3.67,
B,30-May-99,1999-05-30,Integrated,I,1,a,0.40,5.00,,,,,,,6.99,0.92,0.07,7.99,
B,30-May-99,1999-05-30,Integrated,I,2,a,0.40,5.00,,,,,,,7.73,0.27,0.34,8.35,
B,30-May-99,1999-05-30,Surface,S,1,a,0.40,5.00,,,,,,,1.26,0.90,-0.17,2.16,
B,14-Jun-99,1999-06-14,Integrated,I,1,a,0.35,5.00,,,,,,,11.67,0.55,1.62,13.84,
B,14-Jun-99,1999-06-14,Integrated,I,2,a,0.35,5.00,,,,,,,10.43,1.03,0.81,12.28,
B,14-Jun-99,1999-06-14,Surface,S,1,a,0.25,5.00,,,,,,,16.41,-0.24,0.38,16.79,
B,04-Jul-99,1999-07-04,Integrated,I,1,a,0.15,5.00,,,,,,,48.89,-0.06,4.91,53.79,
B,04-Jul-99,1999-07-04,Integrated,I,2,a,0.15,5.00,,,,,,,45.46,-0.23,2.92,48.38,
B,04-Jul-99,1999-07-04,Surface,S,1,a,0.15,5.00,,,,,,,45.19,-1.13,2.54,47.73,
B,13-Jul-99,1999-07-13,Integrated,I,1,a,0.20,5.00,,,,,,,43.64,-0.03,1.33,44.98,
B,13-Jul-99,1999-07-13,Integrated,I,2,a,0.20,5.00,,,,,,,37.21,2.74,-1.86,39.95,
B,13-Jul-99,1999-07-13,Surface,S,1,a,0.25,5.00,,,,,,,35.68,-4.85,0.65,36.33,
B,06-Aug-99,1999-08-06,Integrated,I,1,a,0.20,5.00,,,,,,,77.55,-6.64,4.04,81.59,
B,06-Aug-99,1999-08-06,Integrated,I,2,a,0.20,5.00,,,,,,,91.56,-7.56,5.59,97.15,
B,06-Aug-99,1999-08-06,Surface,S,1,a,0.20,5.00,,,,,,,92.59,-7.95,5.41,98.00,
B,20-Aug-99,1999-08-20,Integrated,I,1,a,0.40,5.00,,,,,,,21.56,-1.83,0.91,22.47,
B,20-Aug-99,1999-08-20,Integrated,I,2,a,0.40,5.00,,,,,,,22.35,-1.65,1.34,23.69,
B,20-Aug-99,1999-08-20,Surface,S,1,a,0.40,5.00,,,,,,,22.59,-1.28,2.40,24.99,
B,28-Aug-99,1999-08-28,Integrated,I,1,a,0.25,5.00,,,,,,,51.71,-4.37,2.99,54.69,
B,28-Aug-99,1999-08-28,Integrated,I,2,a,0.25,5.00,,,,,,,51.77,-4.44,2.78,54.54,
B,28-Aug-99,1999-08-28,Surface,S,1,a,0.25,5.00,,,,,,,58.36,-4.61,3.40,61.76,
B,07-May-00,2000-05-07,Integrated,I,1,a,0.25,5.00,,0.07,0.01,0.01,0.05,0.00,12.20,0.36,3.12,15.68,
B,07-May-00,2000-05-07,Integrated,I,2,a,0.25,5.00,,0.08,0.01,0.01,0.06,0.00,13.06,-0.09,2.55,15.51,
B,07-May-00,2000-05-07,Surface,S,1,a,0.25,5.00,,0.08,0.01,0.02,0.06,0.00,13.14,-0.27,2.93,15.79,
B,19-May-00,2000-05-19,Integrated,I,1,a,0.30,5.00,,0.10,0.02,0.02,0.06,0.00,11.23,0.07,2.76,14.06,
B,19-May-00,2000-05-19,Integrated,I,2,a,0.30,5.00,,0.10,0.02,0.02,0.06,0.00,11.58,0.29,2.96,14.84,
B,19-May-00,2000-05-19,Surface,S,1,a,0.25,5.00,,0.35,0.05,0.06,0.22,0.00,49.70,-2.48,7.05,54.27,
B,05-Jun-00,2000-06-05,Integrated,I,1,a,0.25,5.00,,0.09,0.02,0.02,0.08,0.01,17.47,-1.75,1.27,16.99,
B,05-Jun-00,2000-06-05,Integrated,I,2,a,0.25,5.00,,0.09,0.02,0.02,0.08,0.01,16.97,-1.92,0.75,15.80,
B,05-Jun-00,2000-06-05,Surface,S,1,a,0.25,5.00,,0.07,0.02,0.02,0.06,0.00,14.59,0.05,2.79,17.43,
B,20-Jun-00,2000-06-20,Integrated,I,1,a,0.50,10.00,,0.09,0.02,0.03,0.10,0.00,21.82,-1.94,0.23,20.11,
B,20-Jun-00,2000-06-20,Surface,S,1,a,0.25,5.00,,0.08,0.01,0.02,0.09,0.00,20.29,-2.13,-0.86,17.30,
B,07-Jul-00,2000-07-07,Integrated,I,1,a,0.50,10.00,,0.21,0.06,0.08,0.29,0.01,64.44,-3.21,4.50,65.73,
B,07-Jul-00,2000-07-07,Surface,S,1,a,0.25,5.00,,0.18,0.05,0.07,0.26,0.00,58.66,-3.60,3.78,58.84,
B,24-Jul-00,2000-07-24,Integrated,I,1,a,0.25,5.00,,0.16,0.04,0.05,0.19,0.00,42.07,-3.39,2.24,40.92,
B,24-Jul-00,2000-07-24,Integrated,I,2,a,0.25,5.00,,0.15,0.03,0.04,0.17,0.00,38.96,-2.58,1.58,37.96,
B,24-Jul-00,2000-07-24,Surface,S,1,a,0.25,5.00,,0.15,0.04,0.05,0.18,0.00,39.53,-2.17,3.52,40.88,
B,08-Aug-00,2000-08-08,Integrated,I,1,a,0.25,5.00,,0.22,0.05,0.07,0.26,0.00,58.46,-2.02,7.05,63.48,
B,08-Aug-00,2000-08-08,Integrated,I,2,a,0.25,5.00,,0.22,0.06,0.07,0.28,0.00,63.34,-2.95,6.79,67.18,
B,08-Aug-00,2000-08-08,Surface,S,1,a,0.25,5.00,,0.20,0.05,0.06,0.22,0.00,49.61,-2.07,6.94,54.48,
B,22-Aug-00,2000-08-22,Integrated,I,1,a,0.25,5.00,,0.26,0.05,0.07,0.27,0.00,61.23,-0.59,6.06,66.70,
B,22-Aug-00,2000-08-22,Integrated,I,2,a,0.25,5.00,,0.25,0.05,0.07,0.26,0.00,59.10,-0.51,5.91,64.51,
B,22-Aug-00,2000-08-22,Surface,S,1,a,0.25,5.00,,0.38,0.08,0.10,0.37,0.00,83.89,-1.04,12.68,95.53,
B,04-May-01,2001-05-04,Integrated,I,1,a,0.25,5.00,22,0.07,0.00,0.00,0.04,-0.01,11.37,-0.48,2.09,14.17,
B,04-May-01,2001-05-04,Integrated,I,2,a,0.25,5.00,18,0.08,0.00,0.00,0.05,-0.01,13.24,-0.31,2.62,16.80,
B,04-May-01,2001-05-04,Surface,S,1,a,0.25,5.00,16,0.07,0.00,0.01,0.04,-0.01,11.33,-0.66,1.39,13.59,
B,04-May-01,2001-05-04,Surface,S,2,a,0.25,5.00,15,0.08,0.01,0.01,0.05,-0.01,11.98,-0.27,2.11,15.07,
B,16-May-01,2001-05-16,Integrated,I,1,a,0.50,5.00,67,0.14,0.04,0.05,0.11,0.03,9.57,-0.11,1.32,11.90,
B,16-May-01,2001-05-16,Integrated,I,2,a,0.50,5.00,34,0.15,0.05,0.05,0.12,0.02,10.71,-0.19,1.68,13.40,
B,16-May-01,2001-05-16,Surface,S,1,a,0.50,5.00,42,0.14,0.07,0.07,0.12,0.05,8.70,0.03,1.43,11.06,
B,16-May-01,2001-05-16,Surface,S,2,a,0.50,5.00,65,0.13,0.03,0.03,0.09,0.01,9.53,-0.24,1.24,11.72,
B,06-Jun-01,2001-06-06,Integrated,I,1,a,0.40,5.00,6,0.11,0.03,0.04,0.11,0.01,14.59,-0.77,1.66,17.49,
B,06-Jun-01,2001-06-06,Integrated,I,2,a,0.48,5.00,5,0.11,0.03,0.03,0.11,0.01,11.99,-0.45,1.77,14.75,
B,06-Jun-01,2001-06-06,Surface,S,1,a,0.48,5.00, ,0.11,0.03,0.04,0.11,0.01,11.25,-0.55,1.40,13.59,
B,06-Jun-01,2001-06-06,Surface,S,2,a,0.48,5.00,14,0.11,0.03,0.04,0.11,0.01,11.80,-0.43,1.48,14.38,
B,15-Jun-01,2001-06-15,Integrated,I,1,a,0.25,5.00,3,0.09,0.35,0.26,0.95,0.00,216.01,-11.80,100.60,301.60,"Integrated B on 2001-06-15 has 216 and 422 chl-a (mean 319), next highest in B is 102..."
B,15-Jun-01,2001-06-15,Integrated,I,2,a,0.25,5.00,2,0.75,0.42,0.42,1.85,0.01,421.89,-48.01,78.60,503.08,"Integrated B on 2001-06-15 has 216 and 422 chl-a (mean 319), next highest is 102..."
B,15-Jun-01,2001-06-15,Surface,S,1,a,0.25,5.00,32,0.99,0.21,0.27,1.01,0.01,228.20,-8.74,26.37,276.37,"Surface B on 2001-06-15 has 228 and 432 chl-a, next highest in B is 150"
B,15-Jun-01,2001-06-15,Surface,S,2,a,0.25,5.00,31,0.29,0.61,0.69,1.94,0.02,432.15,42.57,120.49,609.15,"Surface B on 2001-06-15 has 228 and 432 chl-a, next highest in B is 150"
B,25-Jun-01,2001-06-25,Integrated,I,1,a,0.25,5.00,10,0.92,0.01,0.02,0.08,-0.01,21.86,0.06,4.40,28.24,
B,25-Jun-01,2001-06-25,Integrated,I,2,a,0.25,5.00,11,0.10,0.01,0.02,0.09,0.00,20.02,-3.32,0.92,21.48,
B,25-Jun-01,2001-06-25,Surface,S,1,a,0.25,5.00,28,0.09,0.02,0.02,0.11,-0.01,26.44,-0.29,5.21,33.80,
B,25-Jun-01,2001-06-25,Surface,S,2,a,0.25,5.00,27,0.11,0.01,0.02,0.10,-0.01,25.45,-0.42,4.75,32.28,
B,13-Jul-01,2001-07-13,Integrated,I,1,a,0.25,5.00,3,0.21,0.05,0.06,0.20,0.01,42.78,0.66,6.47,54.45,
B,13-Jul-01,2001-07-13,Integrated,I,2,a,0.25,5.00,4,0.20,0.05,0.06,0.20,0.01,45.22,-0.75,8.49,57.37,
B,13-Jul-01,2001-07-13,Surface,S,1,a,0.25,5.00,5,0.33,0.08,0.09,0.33,0.00,73.18,-1.31,14.48,93.19,
B,13-Jul-01,2001-07-13,Surface,S,2,a,0.25,5.00,10,0.36,0.08,0.08,0.30,0.01,66.12,-2.75,12.66,82.75,
B,27-Jul-01,2001-07-27,Integrated,I,1,a,0.25,5.00,12,0.26,0.07,0.07,0.20,0.00,44.19,5.45,14.32,64.26,
B,27-Jul-01,2001-07-27,Integrated,I,2,a,0.25,5.00,13,0.20,0.01,0.00,0.08,0.00,19.16,-7.88,1.00,19.16,
B,27-Jul-01,2001-07-27,Surface,S,1,a,0.25,5.00,24,0.15,0.04,0.04,0.15,0.00,34.69,-1.56,7.48,43.79,
B,27-Jul-01,2001-07-27,Surface,S,2,a,0.25,5.00,22,0.16,0.04,0.05,0.15,0.00,34.89,0.73,8.52,46.38,
B,09-Aug-01,2001-08-09,Integrated,I,1,a,0.25,5.00,26,0.08,0.00,0.00,0.04,0.00,9.49,-3.87,-1.83,9.49,
B,09-Aug-01,2001-08-09,Integrated,I,2,a,0.25,5.00,25,0.08,0.00,0.00,0.03,0.00,7.49,-3.32,-1.68,7.49,
B,09-Aug-01,2001-08-09,Surface,S,1,a,0.25,5.00,31,0.06,0.00,0.00,0.03,-0.01,10.24,0.91,3.27,14.59,
B,09-Aug-01,2001-08-09,Surface,S,2,a,0.25,5.00,30,0.07,0.00,0.00,0.04,0.00,9.07,-4.27,-2.03,9.07,
B,28-Aug-01,2001-08-28,Integrated,I,1,a,0.25,5.00,40,0.08,0.01,0.01,0.04,-0.01,11.06,-0.09,1.94,14.02,
B,28-Aug-01,2001-08-28,Integrated,I,2,a,0.25,5.00,41,0.06,0.00,0.01,0.04,-0.01,10.85,-0.81,0.78,12.56,
B,28-Aug-01,2001-08-28,Surface,S,1,a,0.25,5.00,46,0.15,0.08,0.08,0.11,0.08,7.07,-5.27,-0.21,7.07,
B,28-Aug-01,2001-08-28,Surface,S,2,a,0.25,5.00,45,0.02,0.00,0.00,0.02,-0.01,6.73,-1.81,0.26,6.73,
B,05-Jun-02,2002-06-05,Integrated,I,1,a,0.50,10.00,0,0.05,-0.01,-0.01,0.03,-0.02,12.43,-0.72,0.79,0.68,
B,05-Jun-02,2002-06-05,Integrated,I,2,a,0.50,10.00,0,0.05,-0.01,-0.01,0.03,-0.02,11.89,-0.79,1.50,0.66,
B,05-Jun-02,2002-06-05,Surface,S,1,a,0.50,10.00,0,0.05,-0.01,0.00,0.04,-0.02,13.80,-1.39,1.08,0.74,"B, 2002-06-05, surface repl. 1 deleted 2007-05-22  because chl a=-4.8"
B,20-Jun-02,2002-06-20,Integrated,I,1,a,0.25,10.00,0,0.09,0.02,0.02,0.07,0.00,29.48,-0.93,4.30,0.77,
B,20-Jun-02,2002-06-20,Integrated,I,2,a,0.25,10.00,0,0.09,0.02,0.02,0.07,0.00,29.97,-0.59,4.48,0.78,
B,20-Jun-02,2002-06-20,Surface,S,1,a,0.25,10.00,0,0.07,0.02,0.02,0.07,0.01,28.51,-2.20,2.36,0.72,
