"Year","Month","Day","Pressure"
2015,10,1,95.30375
2015,10,2,95.2241666666667
2015,10,3,95.1020833333333
2015,10,4,94.97875
2015,10,5,95.0782608695652
2015,10,6,95.4004166666667
2015,10,7,94.5570833333333
2015,10,8,95.2925
2015,10,9,94.5704166666667
2015,10,10,93.4029166666667
2015,10,11,92.8495833333333
2015,10,12,94.3570833333333
2015,10,13,94.5566666666667
2015,10,14,94.88375
2015,10,15,95.9320833333333
2015,10,16,96.0304166666667
2015,10,17,95.4120833333333
2015,10,18,94.1245833333333
2015,10,19,94.4670833333333
2015,10,20,94.6241666666667
2015,10,21,95.1475
2015,10,22,94.5973913043478
2015,10,23,94.76625
2015,10,24,95.0620833333333
2015,10,25,95.5841666666667
2015,10,26,95.36875
2015,10,27,94.455
2015,10,28,94.45
2015,10,29,94.2460869565217
2015,10,30,93.23625
2015,10,31,93.115
2015,11,1,93.3883333333333
2015,11,2,94.0873913043478
2015,11,3,94.6745833333333
2015,11,4,94.5847826086956
2015,11,5,94.25375
2015,11,6,95.0829166666667
2015,11,7,94.4316666666667
2015,11,8,93.9195833333333
2015,11,9,94.2775
2015,11,10,94.5129166666667
2015,11,11,94.09625
2015,11,12,94.6383333333333
2015,11,13,93.8279166666667
2015,11,14,94.0454166666667
2015,11,15,93.6583333333333
2015,11,16,93.3116666666667
2015,11,17,93.4508333333333
2015,11,18,92.555
2015,11,19,94.3904347826087
2015,11,20,95.50125
2015,11,21,94.8786956521739
2015,11,22,93.8129166666667
2015,11,23,94.7391666666667
2015,11,24,94.3354166666667
2015,11,25,95.4795833333333
2015,11,26,96.23125
2015,11,27,95.7208333333333
2015,11,28,95.5783333333333
2015,11,29,95.2458333333333
2015,11,30,94.7625
2015,12,1,94.4970833333333
2015,12,2,94.4045833333333
2015,12,3,94.55125
2015,12,4,93.6795833333333
2015,12,5,94.8616666666667
2015,12,6,94.43625
2015,12,7,93.55375
2015,12,8,93.4991666666667
2015,12,9,92.6133333333333
2015,12,10,93.1495833333333
2015,12,11,93.9791666666667
2015,12,12,94.5108333333333
2015,12,13,93.69
2015,12,14,94.1445833333333
2015,12,15,94.6754166666667
2015,12,16,94.1658333333333
2015,12,17,94.4304166666667
2015,12,18,94.7833333333333
2015,12,19,94.1841666666667
2015,12,20,94.1175
2015,12,21,93.2783333333333
2015,12,22,92.7141666666667
2015,12,23,93.2041666666667
2015,12,24,93.84125
2015,12,25,95.5320833333333
2015,12,26,96.3220833333333
2015,12,27,95.65875
2015,12,28,94.7591666666667
2015,12,29,95.2239130434783
2015,12,30,95.23625
2015,12,31,95.2570833333333
